# e110dc3c-9a09-473d-a812-f331d0fd0347
# fd036b0216e5cee309250dbbb1b767edea871d1f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -70.1410631; 54.5580439; 1.6341947; 0.0358391; 7.0000000; 0.0000000
0.1999306; -70.3405431; 54.5446346; 1.6417782; 0.0400232; 7.0000000; 0.0000000
0.3998612; -70.5399092; 54.5296288; 1.6502204; 0.0446469; 7.0000000; 0.0000000
0.5997918; -70.7391331; 54.5128433; 1.6596529; 0.0497116; 7.0000000; 0.0000000
0.7997224; -70.9381795; 54.4940708; 1.6702154; 0.0559516; 7.0000000; 0.0000000
0.9996530; -71.1370020; 54.4730700; 1.6821189; 0.0640545; 7.0000000; 0.0000000
1.1995835; -71.3355403; 54.4495215; 1.6959216; 0.0740201; 7.0000000; 0.0000000
1.3995141; -71.5337011; 54.4230289; 1.7118594; 0.0854173; 7.0000000; 0.0000000
1.5994447; -71.7313793; 54.3931551; 1.7301178; 0.0976605; 7.0000000; 0.0000000
1.7993753; -71.9284500; 54.3594238; 1.7509532; 0.1107513; 7.0000000; 0.0000000
1.9993059; -72.1246972; 54.3213378; 1.7744786; 0.1246073; 7.0000000; -3.4415333
2.1992365; -72.3199443; 54.2783735; 1.8007678; 0.1383154; 6.9010046; -5.1822347
2.3991671; -72.5139567; 54.2300200; 1.8297832; 0.1519018; 6.7491992; -4.9216699
2.5990977; -72.7063573; 54.1758189; 1.8614201; 0.1646385; 6.6017956; -4.6242478
2.7990283; -72.8968955; 54.1153051; 1.8956877; 0.1789605; 6.4602359; -4.2849550
2.9989589; -73.0851818; 54.0479975; 1.9330767; 0.1950045; 6.3262359; -3.9556552
3.1988895; -73.2706286; 53.9734290; 1.9736996; 0.2115034; 6.1999635; -3.6706713
3.3988200; -73.4527938; 53.8910726; 2.0176205; 0.2275196; 6.0804431; -3.4213781
3.5987506; -73.6310529; 53.8005026; 2.0646759; 0.2431782; 5.9668847; -3.1384231
3.7986812; -73.8046384; 53.7014034; 2.1149744; 0.2602189; 5.8607831; -2.8473545
3.9986118; -73.9728679; 53.5933886; 2.1687620; 0.2778280; 5.7628320; -2.5336583
4.1985424; -74.1348369; 53.4761986; 2.2261373; 0.2962429; 5.6742507; -2.3298342
4.3984730; -74.2895860; 53.3496541; 2.2868880; 0.3115226; 5.5915571; -2.1346128
4.5984036; -74.4361671; 53.2137103; 2.3507406; 0.3266225; 5.5147041; -1.9343629
4.7983342; -74.5735370; 53.0685154; 2.4175274; 0.3418446; 5.4441239; -1.5339428
4.9982648; -74.7006909; 52.9142083; 2.4879173; 0.3628170; 5.3874967; -1.0263484
5.1981954; -74.8162909; 52.7511259; 2.5627589; 0.3857275; 5.3492732; -0.3777592
5.3981260; -74.9189393; 52.5796817; 2.6422873; 0.4105492; 5.3351357; -0.0634406
5.5980565; -75.0073202; 52.4003064; 2.7256322; 0.4219661; 5.3327578; -0.0634406
5.7979871; -75.0802284; 52.2142343; 2.8107033; 0.4214042; 5.3303788; -0.0367160
5.9979177; -75.1372505; 52.0227341; 2.8930642; 0.4032083; 5.3290015; 0.4862364
6.1978483; -75.1787324; 51.8271570; 2.9712580; 0.3781244; 5.3472127; 1.1246223
6.3977789; -75.2053063; 51.6290844; 3.0444486; 0.3559309; 5.3890979; 1.5981332
6.5977095; -75.2177219; 51.4296067; 3.1138324; 0.3384421; 5.4480646; 1.8883473
6.7976401; -75.2166284; 51.2297068; -3.1034999; 0.3203098; 5.5169271; 2.1829965
6.9975707; -75.2027408; 51.0303014; -3.0411810; 0.3034836; 5.5954786; 2.4282714
7.1975013; -75.1767831; 50.8320961; -2.9820778; 0.2879227; 5.6815800; 2.6337437
7.3974319; -75.1394644; 50.6357098; -2.9260360; 0.2727920; 5.7735157; 2.8325299
7.5973625; -75.0914922; 50.4416451; -2.8729620; 0.2580470; 5.8707838; 3.0292387
7.7972930; -75.0335727; 50.2503049; -2.8228381; 0.2434723; 5.9730543; 3.2339588
7.9972236; -74.9664166; 50.0620189; -2.7756223; 0.2289135; 6.0803381; 3.4544776
8.1971542; -74.8907123; 49.8769960; -2.7312756; 0.2147735; 6.1928849; 3.6774883
8.3970848; -74.8071277; 49.6953792; -2.6897204; 0.2009661; 6.3104919; 3.9082297
8.5970154; -74.7163258; 49.5172899; -2.6508940; 0.1874982; 6.4331219; 4.1480550
8.7969460; -74.6189066; 49.3427178; -2.6147297; 0.1743515; 6.5607701; 4.3992443
8.9968766; -74.5154473; 49.1716236; -2.5811611; 0.1614511; 6.6934887; 4.6665946
9.1968072; -74.4065437; 49.0039988; -2.5501275; 0.1490543; 6.8314552; 4.9397069
9.3967378; -74.2926800; 48.8396746; -2.5215347; 0.1371940; 6.9745235; 0.8903645
9.5966684; -74.1743290; 48.6785052; -2.4952411; 0.1258350; 7.0000000; 0.0000000
9.7965990; -74.0519935; 48.5204196; -2.4710871; 0.1158448; 7.0000000; 0.0000000
9.9965295; -73.9260071; 48.3651830; -2.4488882; 0.1064919; 7.0000000; 0.0000000
10.1964601; -73.7967225; 48.2126404; -2.4284716; 0.0977440; 7.0000000; 0.0000000
10.3963907; -73.6645151; 48.0626965; -2.4097463; 0.0896116; 7.0000000; 0.0000000
10.5963213; -73.5296196; 47.9151222; -2.3925978; 0.0822693; 7.0000000; 0.0000000
10.7962519; -73.3923097; 47.7697829; -2.3768122; 0.0756554; 7.0000000; 0.0000000
10.9961825; -73.2528270; 47.6265511; -2.3623020; 0.0695063; 7.0000000; 0.0000000
