x,y,psi,kappa,v
3.26,4.04,0.0,0.0,5.1713
3.2603,4.04,-0.1419,0.0,5.0984
3.261,4.0399,-0.1419,0.0,5.0248
3.2621,4.0397,-0.1419,0.0,4.9507
3.2634,4.0395,-0.1419,0.0,4.8763
3.2651,4.0393,-0.1419,0.0,4.8019
3.2672,4.039,-0.1419,0.0,4.7279
3.2696,4.0386,-0.1419,0.0,4.6546
3.2723,4.0382,-0.1419,0.0,4.5823
3.2754,4.0378,-0.1419,0.0,4.5111
3.2788,4.0373,-0.1419,0.0,4.4411
3.2826,4.0368,-0.1419,0.0,4.3724
3.2867,4.0362,-0.1419,0.0,4.3048
3.2911,4.0356,-0.1419,0.0,4.2385
3.2959,4.0349,-0.1419,0.0,4.1731
3.301,4.0341,-0.1419,0.0,4.1087
3.3065,4.0334,-0.1419,0.0,4.0452
3.3123,4.0325,-0.1419,0.0,3.9823
3.3184,4.0317,-0.1419,0.0,3.9201
3.3249,4.0307,-0.1419,0.0,3.8583
3.3318,4.0297,-0.1419,0.0,3.797
3.339,4.0287,-0.1419,0.0,3.736
3.3465,4.0276,-0.1419,0.0,3.6753
3.3543,4.0265,-0.1419,0.0,3.6147
3.3625,4.0254,-0.1419,0.0,3.5542
3.3711,4.0241,-0.1419,0.0,3.4937
3.38,4.0229,-0.1419,0.0,3.4333
3.3892,4.0215,-0.1419,0.0,3.3738
3.3988,4.0202,-0.1419,0.0,3.316
3.4087,4.0188,-0.1419,0.0,3.2586
3.4189,4.0173,-0.1419,0.0,3.2005
3.4295,4.0158,-0.1419,0.0876,3.1417
3.4405,4.0142,-0.1419,0.2635,3.1121
3.4511,4.0127,-0.1457,0.3829,3.1183
3.4615,4.0111,-0.1498,0.416,3.1378
3.4715,4.0095,-0.1541,0.4531,3.16
3.4813,4.008,-0.1587,0.4946,3.1848
3.4908,4.0064,-0.1635,0.5414,3.2121
3.4999,4.0048,-0.1686,0.5942,3.2419
3.5088,4.0033,-0.174,0.654,3.2739
3.5174,4.0017,-0.1799,0.7221,3.3078
3.5257,4.0002,-0.1861,0.7998,3.3435
3.5337,3.9986,-0.1927,0.889,3.3807
3.5414,3.997,-0.1998,0.9918,3.4191
3.5489,3.9955,-0.2075,1.111,3.4583
3.556,3.9939,-0.2158,1.2497,3.4982
3.5628,3.9923,-0.2247,1.4121,3.5383
3.5694,3.9908,-0.2344,1.6035,3.5786
3.5756,3.9892,-0.245,1.8304,3.6188
3.5816,3.9877,-0.2565,2.1014,3.6587
3.5872,3.9861,-0.2692,2.4274,3.6982
3.5926,3.9845,-0.2831,2.8228,3.7372
3.5977,3.983,-0.2985,3.3064,3.7755
3.6025,3.9814,-0.3156,3.9034,3.8132
3.607,3.9798,-0.3347,4.6479,3.8499
3.6112,3.9783,-0.3562,5.5862,3.8857
3.6151,3.9767,-0.3805,6.7822,3.9203
3.6187,3.9752,-0.4081,8.325,3.9537
3.622,3.9736,-0.4398,10.3399,3.9857
3.625,3.972,-0.4765,13.0044,4.0046
3.6278,3.9705,-0.5191,16.57,4.0218
3.6302,3.9689,-0.5693,21.3906,4.0391
3.6324,3.9673,-0.6288,27.9499,4.0568
3.6342,3.9658,-0.6999,29.331,4.0753
3.6358,3.9642,-0.7854,15.7033,4.0949
3.6373,3.9626,-0.8008,6.5911,4.1159
3.6389,3.9609,-0.8157,6.2898,4.1387
3.6405,3.9592,-0.8301,6.0029,4.1636
3.642,3.9575,-0.8442,5.7299,4.1907
3.6436,3.9557,-0.8577,5.4702,4.2201
3.6452,3.9538,-0.8709,5.2233,4.2518
3.6467,3.9519,-0.8837,4.9886,4.2856
3.6483,3.95,-0.8961,4.7656,4.3217
3.6498,3.948,-0.9081,4.5538,4.3598
3.6514,3.9459,-0.9197,4.3525,4.3999
3.653,3.9438,-0.931,4.1614,4.4418
3.6545,3.9417,-0.942,3.9799,4.4855
3.6561,3.9395,-0.9527,3.8076,4.5308
3.6577,3.9372,-0.963,3.6438,4.5777
3.6592,3.9349,-0.973,3.4883,4.626
3.6608,3.9326,-0.9828,3.3406,4.6758
3.6623,3.9302,-0.9923,3.2003,4.7268
3.6639,3.9277,-1.0015,3.0669,4.7792
3.6655,3.9253,-1.0104,2.9402,4.8327
3.667,3.9227,-1.0191,2.8197,4.8874
3.6686,3.9201,-1.0276,2.7051,4.9432
3.6702,3.9175,-1.0358,2.5961,5.0001
3.6717,3.9148,-1.0439,2.4925,5.058
3.6733,3.9121,-1.0517,2.3938,5.1169
3.6748,3.9093,-1.0592,2.2999,5.1767
3.6764,3.9065,-1.0666,2.2105,5.2376
3.678,3.9036,-1.0738,2.1253,5.2994
3.6795,3.9006,-1.0808,2.0442,5.3618
3.6811,3.8977,-1.0877,1.9668,5.4245
3.6827,3.8946,-1.0943,1.8931,5.4875
3.6842,3.8916,-1.1008,5.4826,5.5508
3.6858,3.8884,-1.1071,9.7372,5.6144
3.6874,3.8847,-1.155,7.9473,5.6781
3.6892,3.8803,-1.1903,5.3431,5.7421
3.6911,3.8753,-1.2174,3.7556,5.8062
3.693,3.8696,-1.2387,2.7362,5.8704
3.6951,3.8633,-1.256,2.053,5.9346
3.6972,3.8564,-1.2703,1.5787,5.9988
3.6995,3.8488,-1.2823,1.2395,6.0627
3.7018,3.8406,-1.2925,0.9906,6.126
3.7042,3.8317,-1.3013,0.8039,6.1878
3.7068,3.8223,-1.3089,0.6613,6.247
3.7094,3.8122,-1.3156,0.5504,6.3027
3.7121,3.8014,-1.3215,0.4629,6.3538
3.715,3.79,-1.3268,0.393,6.3994
3.7179,3.778,-1.3316,0.3365,6.4389
3.7209,3.7654,-1.3358,0.2903,6.4719
3.7241,3.7521,-1.3397,0.2522,6.4984
3.7273,3.7382,-1.3432,0.2204,6.5181
3.7306,3.7236,-1.3464,0.1938,6.5312
3.734,3.7085,-1.3494,0.1713,6.5379
3.7375,3.6926,-1.3521,0.1521,6.5382
3.7412,3.6762,-1.3546,0.1357,6.5327
3.7449,3.6591,-1.357,0.1216,6.5215
3.7487,3.6414,-1.3591,0.1093,6.5052
3.7526,3.623,-1.3612,0.0987,6.4842
3.7566,3.604,-1.363,0.0894,6.4591
3.7607,3.5844,-1.3648,0.0812,6.4304
3.7649,3.5641,-1.3665,0.074,6.3993
3.7692,3.5432,-1.368,0.0676,6.3723
3.7736,3.5217,-1.3695,0.0619,6.3649
3.7781,3.4995,-1.3709,0.0569,6.3556
3.7827,3.4767,-1.3722,0.0435,6.3445
3.7873,3.4533,-1.3734,0.0257,6.3286
3.7919,3.4303,-1.3738,0.0183,6.3063
3.7964,3.4077,-1.3742,0.0194,6.2808
3.8008,3.3856,-1.3747,0.0206,6.2554
3.8051,3.3639,-1.3751,0.0219,6.2301
3.8093,3.3427,-1.3756,0.0233,6.2049
3.8134,3.3219,-1.3761,0.0248,6.1799
3.8174,3.3015,-1.3766,0.0265,6.1551
3.8213,3.2816,-1.3772,0.0283,6.1306
3.8251,3.2621,-1.3777,0.0303,6.1064
3.8288,3.2431,-1.3783,0.0325,6.0825
3.8325,3.2245,-1.379,0.0349,6.0591
3.836,3.2063,-1.3796,0.0375,6.0362
3.8394,3.1886,-1.3803,0.0404,6.0138
3.8427,3.1713,-1.381,0.0436,5.9922
3.8459,3.1545,-1.3818,0.0472,5.9713
3.8491,3.138,-1.3826,0.0512,5.9513
3.8521,3.1221,-1.3834,0.0556,5.9323
3.855,3.1066,-1.3843,0.0606,5.9145
3.8579,3.0915,-1.3853,0.0661,5.8979
3.8606,3.0768,-1.3863,0.0724,5.8828
3.8632,3.0626,-1.3873,0.0795,5.8694
3.8658,3.0488,-1.3884,0.0875,5.8578
3.8682,3.0355,-1.3897,0.0967,5.8484
3.8705,3.0226,-1.3909,0.1072,5.8413
3.8728,3.0102,-1.3923,0.1193,5.8368
3.8749,2.9982,-1.3938,0.1332,5.8352
3.877,2.9866,-1.3954,0.1494,5.837
3.8789,2.9754,-1.3971,0.1684,5.8423
3.8808,2.9648,-1.399,0.1906,5.8517
3.8826,2.9545,-1.401,0.217,5.8654
3.8842,2.9447,-1.4032,0.7194,5.8839
3.8858,2.9353,-1.4056,1.5207,5.9394
3.8873,2.925,-1.4249,1.4854,6.0008
3.8888,2.9138,-1.4411,1.166,6.0626
3.8902,2.9016,-1.4549,0.9315,6.1242
3.8915,2.8885,-1.4667,0.7556,6.1848
3.8929,2.8745,-1.477,0.6211,6.2433
3.8941,2.8596,-1.486,0.5166,6.2988
3.8954,2.8437,-1.494,0.4343,6.3502
3.8965,2.8269,-1.5011,0.3685,6.3969
3.8976,2.8092,-1.5075,0.3153,6.4386
3.8987,2.7905,-1.5133,0.2718,6.475
3.8997,2.771,-1.5185,0.236,6.5061
3.9007,2.7504,-1.5232,0.2062,6.5321
3.9017,2.729,-1.5275,0.1811,6.5531
3.9025,2.7067,-1.5315,0.16,6.5695
3.9034,2.6834,-1.5352,0.142,6.5815
3.9041,2.6591,-1.5385,0.1267,6.5894
3.9049,2.634,-1.5417,0.1134,6.5936
3.9056,2.6079,-1.5446,0.102,6.5943
3.9062,2.5809,-1.5473,0.092,6.5918
3.9068,2.553,-1.5498,0.0833,6.5863
3.9073,2.5241,-1.5522,0.0756,6.578
3.9078,2.4943,-1.5544,0.0689,6.5672
3.9082,2.4636,-1.5565,0.0629,6.554
3.9086,2.432,-1.5585,0.0576,6.5386
3.909,2.3994,-1.5603,0.0529,6.5212
3.9093,2.3659,-1.5621,0.0487,6.5018
3.9095,2.3315,-1.5637,0.0449,6.4807
3.9097,2.2962,-1.5653,0.0415,6.4578
3.9099,2.2599,-1.5668,0.0384,6.4333
3.91,2.2227,-1.5682,0.0357,6.4072
3.91,2.1845,-1.5695,0.033,6.3797
3.91,2.1455,-1.5708,0.0329,6.3507
3.91,2.1073,-1.5721,0.0355,6.3212
3.9099,2.07,-1.5734,0.0381,6.2921
3.9097,2.0336,-1.5748,0.0409,6.2633
3.9095,1.998,-1.5763,0.0441,6.235
3.9093,1.9633,-1.5778,0.0476,6.2072
3.909,1.9296,-1.5795,0.0514,6.1801
3.9086,1.8966,-1.5812,0.0557,6.1538
3.9082,1.8646,-1.583,0.0605,6.1283
3.9078,1.8335,-1.5849,0.0658,6.1039
3.9073,1.8032,-1.5869,0.0718,6.0807
3.9068,1.7738,-1.5891,0.0785,6.0588
3.9062,1.7453,-1.5913,0.0861,6.0384
3.9056,1.7176,-1.5938,0.0947,6.0198
3.9049,1.6909,-1.5963,0.1045,6.0032
3.9041,1.665,-1.5991,0.1157,5.9888
3.9034,1.64,-1.602,0.1285,5.9769
3.9025,1.6159,-1.6052,0.1433,5.9679
3.9017,1.5926,-1.6086,0.1605,5.9619
3.9007,1.5703,-1.6123,0.1805,5.9595
3.8997,1.5488,-1.6162,0.2039,5.9608
3.8987,1.5282,-1.6205,0.2316,5.9663
3.8976,1.5085,-1.6252,0.2646,5.9762
3.8965,1.4896,-1.6303,0.304,5.991
3.8954,1.4716,-1.6359,0.3516,6.0107
3.8941,1.4546,-1.6421,0.4098,6.0357
3.8929,1.4383,-1.649,0.4813,6.0657
3.8915,1.423,-1.6566,0.5705,6.0977
3.8902,1.4086,-1.6651,0.6829,6.1307
3.8888,1.395,-1.6747,0.8268,6.167
3.8873,1.3823,-1.6857,1.0136,6.2071
3.8858,1.3705,-1.6982,0.9578,6.25
3.8842,1.3595,-1.7127,0.3984,6.2933
3.8827,1.3486,-1.7133,0.0577,6.3192
3.8811,1.3378,-1.714,0.0585,6.2857
3.8795,1.327,-1.7146,0.0592,6.2527
3.878,1.3163,-1.7152,0.06,6.2201
3.8764,1.3056,-1.7159,0.0609,6.188
3.8748,1.2949,-1.7165,0.0617,6.1564
3.8733,1.2843,-1.7172,0.0625,6.1252
3.8717,1.2738,-1.7179,0.0634,6.0946
3.8702,1.2633,-1.7185,0.0642,6.0644
3.8686,1.2528,-1.7192,0.0651,6.0347
3.867,1.2424,-1.7199,0.066,6.0056
3.8655,1.2321,-1.7206,0.067,5.977
3.8639,1.2218,-1.7213,0.0679,5.9489
3.8623,1.2115,-1.722,0.0688,5.9213
3.8608,1.2013,-1.7227,0.0698,5.8943
3.8592,1.1912,-1.7234,0.0708,5.8678
3.8577,1.1811,-1.7242,0.0718,5.8419
3.8561,1.171,-1.7249,0.0729,5.8165
3.8545,1.161,-1.7256,0.0739,5.7916
3.853,1.151,-1.7264,0.075,5.7673
3.8514,1.1411,-1.7271,0.0761,5.7435
3.8498,1.1313,-1.7279,0.0772,5.7203
3.8483,1.1214,-1.7287,0.0783,5.6976
3.8467,1.1117,-1.7295,0.0795,5.6755
3.8452,1.102,-1.7302,0.0806,5.6539
3.8436,1.0923,-1.731,0.0818,5.6329
3.842,1.0827,-1.7318,0.0831,5.6125
3.8405,1.0731,-1.7326,0.0843,5.5921
3.8389,1.0636,-1.7334,0.0856,5.571
3.8373,1.0541,-1.7343,0.0869,5.5492
3.8358,1.0447,-1.7351,0.0882,5.5267
3.8342,1.0353,-1.7359,0.0895,5.5035
3.8327,1.026,-1.7368,0.0909,5.4796
3.8311,1.0167,-1.7377,0.0923,5.4548
3.8295,1.0075,-1.7385,0.0938,5.4293
3.828,0.9983,-1.7394,0.0952,5.4028
3.8264,0.9892,-1.7403,0.0967,5.3756
3.8248,0.9801,-1.7412,0.0983,5.3475
3.8233,0.9711,-1.7421,0.0998,5.3185
3.8217,0.9621,-1.743,0.1014,5.2886
3.8202,0.9531,-1.7439,0.103,5.2579
3.8186,0.9442,-1.7448,0.1047,5.2263
3.817,0.9354,-1.7458,0.1064,5.194
3.8155,0.9266,-1.7467,0.1081,5.1608
3.8139,0.9179,-1.7477,0.1099,5.1271
3.8123,0.9092,-1.7487,0.1117,5.0927
3.8108,0.9005,-1.7497,0.1135,5.0577
3.8092,0.892,-1.7506,0.1154,5.0224
3.8077,0.8834,-1.7517,0.1174,4.9867
3.8061,0.8749,-1.7527,0.1193,4.9508
3.8045,0.8665,-1.7537,0.1214,4.9147
3.803,0.8581,-1.7547,0.1234,4.8786
3.8014,0.8497,-1.7558,0.1255,4.8425
3.7998,0.8414,-1.7569,0.1277,4.8065
3.7983,0.8332,-1.7579,0.1299,4.7707
3.7967,0.825,-1.759,0.1322,4.735
3.7952,0.8168,-1.7601,0.1345,4.6994
3.7936,0.8087,-1.7612,0.1368,4.6641
3.792,0.8006,-1.7624,0.1392,4.629
3.7905,0.7926,-1.7635,0.1417,4.594
