# b628ac5e-30af-4d6e-bbf8-5b04119f2929
# 32f9c5419485a9eeb49edc62a779196a35539d51
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
2.6991428; 2.7780701; 0.7593618; 2.2622491; -0.8782272; -0.4782436; 0.0214760; 0.0000000; -2.6323229; -0.4540617; 3.6711806; -1.8171898
2.8204938; 2.5084893; 0.4929584; 1.9436519; -0.9420489; -0.3354757; 0.0155304; 0.2930265; -2.7218570; -0.4462806; 3.5714191; -1.8327121
2.8967255; 2.2228526; 0.2614353; 1.7511774; -0.9830709; -0.1832258; 0.0031953; 0.5877298; -2.9306216; -0.6557496; 3.4569954; -0.0266364
2.9290057; 1.9289849; 0.2153747; 1.7427187; -0.9995023; -0.0315461; 0.0003747; 0.8835842; -3.0619977; -0.6700040; 3.4554633; -0.0266364
2.9137361; 1.6338026; 0.3282443; 1.7999531; -0.9905636; 0.1370537; 0.0069002; 1.1790057; 2.9742354; -0.5352044; 3.4826247; 1.4816234
2.8487990; 1.3454198; 0.5222724; 1.9110545; -0.9550284; 0.2965142; 0.0116514; 1.4734320; 2.8696141; -0.5171199; 3.5662000; 1.3950110
2.7407030; 1.0702114; 0.7634840; 1.9775579; -0.9024111; 0.4308760; 0.0151260; 1.7674440; 2.6762758; -0.4512597; 3.7247307; 1.7084454
2.5956613; 0.8125075; 1.0435937; 1.8525450; -0.8376785; 0.5461637; 0.0173644; 2.0612223; 2.5891799; -0.4252329; 3.8148281; 1.7791580
2.4192050; 0.5751645; 1.3583231; 1.6087069; -0.7653530; 0.6436107; 0.0183429; 2.3549762; 2.4294536; -0.3796705; 3.9990269; 1.8925520
2.2162627; 0.3599950; 1.6908421; 1.3472741; -0.6882103; 0.7255113; 0.0180702; 2.6488464; 2.3559594; -0.3600055; 4.0920305; 1.9344568
1.9910965; 0.1681766; 1.9923112; 1.1261960; -0.6075977; 0.7942449; 0.0162942; 2.9429456; 2.2207453; -0.3216433; 4.2792913; 2.0691086
1.7473886; 0.0005163; 2.1408254; 0.9478844; -0.5256158; 0.8507221; 0.0124460; 3.2374534; 2.1578213; -0.3115750; 4.3743607; 1.9953153
1.4887137; -0.1430114; 2.2423941; 0.7978292; -0.4445858; 0.8957363; 0.0071118; 3.5325150; 2.0378101; -0.2929063; 4.5498868; 1.8902283
1.2182143; -0.2628059; 2.3085625; 0.6773760; -0.3654629; 0.9308259; 0.0010319; 3.8281505; 1.9802158; -0.2866874; 4.6317430; 1.8018253
0.9386492; -0.3596099; 2.3372858; 0.5918466; -0.2893268; 0.9572304; -0.0047840; 4.1242922; 1.8681300; -0.2774998; 4.7798962; 1.6088814
0.6523880; -0.4343649; 2.3565189; 0.5387901; -0.2164058; 0.9763035; -0.0092306; 4.4207949; 1.8134192; -0.2730746; 4.8463506; 1.5338706
0.3614063; -0.4879106; 2.3741623; 0.5031040; -0.1456925; 0.9893299; -0.0116096; 4.7174973; 1.7075953; -0.2590370; 4.9706773; 1.5446915
0.0673636; -0.5207524; 2.3820224; 0.4723714; -0.0765774; 0.9970636; -0.0119974; 5.0142606; 1.6566585; -0.2535282; 5.0320788; 1.5237166
-0.2282419; -0.5333499; 2.3789491; 0.4384021; -0.0086380; 0.9999627; -0.0105905; 5.3109716; 1.5587689; -0.2389742; 5.1320145; -1.7332237
-0.5240251; -0.5259456; 2.3674335; 0.3920808; 0.0584830; 0.9982884; -0.0080247; 5.6075441; 1.5118137; -0.2335044; 5.0644275; -2.0338327
-0.8186564; -0.4988196; 2.3517665; 0.3318018; 0.1247548; 0.9921876; -0.0048523; 5.9039229; 1.4213913; -0.2210664; 4.8884246; -2.7334050
-1.1108284; -0.4521365; 2.3375263; 0.2674391; 0.1907325; 0.9816421; -0.0018513; 6.2000911; 1.3781121; -0.2144044; 4.7759676; -3.1166568
-1.3991818; -0.3858476; 2.2959154; 0.2195813; 0.2575596; 0.9662624; -0.0002409; 6.4960870; 1.2964523; -0.2039603; 4.4873236; -3.8759597
-1.6822768; -0.2998175; 2.1175910; 0.2161073; 0.3231539; 0.9463464; -0.0011073; 6.7920610; 1.2539124; -0.2240136; 4.3121867; -3.5660122
-1.9586013; -0.1940755; 1.7441357; 0.2574868; 0.3938160; 0.9191893; -0.0024888; 7.0881392; 1.1501962; -0.3037310; 3.9878048; -2.7844755
-2.2249343; -0.0653040; 1.2926964; 0.3543859; 0.4788744; 0.8778834; -0.0036571; 7.3843772; 1.0847574; -0.3547394; 3.8464857; -2.4776751
-2.4761855; 0.0907584; 0.8777599; 0.5177922; 0.5780379; 0.8160099; -0.0043804; 7.6807942; 0.9245770; -0.4557558; 3.6010928; -1.5810911
-2.7053316; 0.2776519; 0.5482715; 0.7718485; 0.6856086; 0.7279703; -0.0047698; 7.9773789; 0.8274043; -0.5224349; 3.5127215; -1.0069832
-2.9038474; 0.4966294; 0.3224924; 1.1460140; 0.7941988; 0.6076580; -0.0030548; 8.2739442; 0.5936951; -0.6431088; 3.4282334; -0.0261951
-3.0609367; 0.7468224; 0.2162290; 1.5533651; 0.8946037; 0.4468605; 0.0012290; 8.5700214; 0.4623140; -0.6812935; 3.4267140; -0.0261951
