# d025cbe2-5eb4-47f9-bba9-bee2a736fca8
# 32f9c5419485a9eeb49edc62a779196a35539d51
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.6802820; 2.7677993; -2.6323229; -0.4540617; 3.6711806; -1.8171898
0.1988049; 2.7692275; 2.5902307; -2.7218570; -0.4462806; 3.5714191; -1.8327121
0.3976098; 2.8420171; 2.4053318; -2.8135744; -0.5150463; 3.4679000; -0.1899165
0.5964147; 2.8954247; 2.2137913; -2.9306216; -0.6557496; 3.4569954; -0.0266364
0.7952196; 2.9242326; 2.0172253; -3.0619977; -0.6700040; 3.4554633; -0.0266364
0.9940246; 2.9267602; 1.8185001; 3.0889893; -0.6264062; 3.4539305; 0.5005891
1.1928295; 2.9046449; 1.6210854; 2.9742354; -0.5352044; 3.4826247; 1.4816234
1.3916344; 2.8612742; 1.4271076; 2.8696141; -0.5171199; 3.5662000; 1.3950110
1.5904393; 2.7982830; 1.2386931; 2.7693369; -0.4866050; 3.6431378; 1.5119498
1.7892442; 2.7173643; 1.0571919; 2.6762758; -0.4512597; 3.7247307; 1.7084454
1.9880491; 2.6204630; 0.8836692; 2.5891799; -0.4252329; 3.8148281; 1.7791580
2.1868540; 2.5092595; 0.7189671; 2.5070490; -0.4013826; 3.9064465; 1.8407286
2.3856589; 2.3852571; 0.5636333; 2.4294536; -0.3796705; 3.9990269; 1.8925520
2.5844638; 2.2498943; 0.4181017; 2.3559594; -0.3600055; 4.0920305; 1.9344568
2.7832688; 2.1044816; 0.2826304; 2.2863457; -0.3398892; 4.1849579; 2.0081539
2.9820737; 1.9502173; 0.1572609; 2.2207453; -0.3216433; 4.2792913; 2.0691086
3.1808786; 1.7882573; 0.0420464; 2.1578213; -0.3115750; 4.3743607; 1.9953153
3.3796835; 1.6194925; -0.0629119; 2.0968684; -0.3016411; 4.4641224; 1.9443214
3.5784884; 1.4446748; -0.1575986; 2.0378101; -0.2929063; 4.5498868; 1.8902283
3.7772933; 1.2646730; -0.2419255; 1.9802158; -0.2866874; 4.6317430; 1.8018253
3.9760982; 1.0801708; -0.3158536; 1.9237415; -0.2817165; 4.7084463; 1.7050392
4.1749031; 0.8917690; -0.3793503; 1.8681300; -0.2774998; 4.7798962; 1.6088814
4.3737080; 0.7001815; -0.4323541; 1.8134192; -0.2730746; 4.8463506; 1.5338706
4.5725130; 0.5060047; -0.4748935; 1.7597593; -0.2660280; 4.9088692; 1.5357685
4.7713179; 0.3098337; -0.5071081; 1.7075953; -0.2590370; 4.9706773; 1.5446915
4.9701228; 0.1122769; -0.5291752; 1.6566585; -0.2535282; 5.0320788; 1.5237166
5.1689277; -0.0861502; -0.5412696; 1.6069440; -0.2460827; 5.0919213; 1.0309373
5.3677326; -0.2849232; -0.5436432; 1.5587689; -0.2389742; 5.1320145; -1.7332237
5.5665375; -0.4835819; -0.5365688; 1.5118137; -0.2335044; 5.0644275; -2.0338327
5.7653424; -0.6817162; -0.5202846; 1.4659803; -0.2273733; 4.9839497; -2.3718218
5.9641473; -0.8788903; -0.4950652; 1.4213913; -0.2210664; 4.8884246; -2.7334050
6.1629523; -1.0747699; -0.4612082; 1.3781121; -0.2144044; 4.7759676; -3.1166568
6.3617572; -1.2690375; -0.4190474; 1.3363984; -0.2046096; 4.6444217; -3.6080078
6.5605621; -1.4614178; -0.3690178; 1.2964523; -0.2039603; 4.4873236; -3.8759597
6.7593670; -1.6516029; -0.3111684; 1.2539124; -0.2240136; 4.3121867; -3.5660122
6.9581719; -1.8389859; -0.2448444; 1.2060403; -0.2603649; 4.1445232; -3.2053665
7.1569768; -2.0226927; -0.1689071; 1.1501962; -0.3037310; 3.9878048; -2.7844755
7.3557817; -2.2014645; -0.0820044; 1.0847574; -0.3547394; 3.8464857; -2.4776751
7.5545866; -2.3736537; 0.0172462; 1.0095052; -0.4021007; 3.7162218; -2.1187475
7.7533915; -2.5373732; 0.1299470; 0.9245770; -0.4557558; 3.6010928; -1.5810911
7.9521965; -2.6901739; 0.2570120; 0.8274043; -0.5224349; 3.5127215; -1.0069832
8.1510014; -2.8290058; 0.3992364; 0.7171036; -0.5879682; 3.4552606; -0.4678992
8.3498063; -2.9502644; 0.5566577; 0.5936951; -0.6431088; 3.4282334; -0.0261951
8.5486112; -3.0504416; 0.7281677; 0.4623140; -0.6812935; 3.4267140; -0.0261951
8.7474161; -3.1269612; 0.9115297; 0.3299170; -0.6421699; 3.4251939; 0.4399212
8.9462210; -3.1794693; 1.1031102; 0.2064336; -0.6017014; 3.4506334; 0.8090576
9.1450259; -3.2087313; 1.2996181; 0.0903557; -0.5673063; 3.4969358; 1.0353812
9.3438308; -3.2157244; 1.4981988; -0.0186928; -0.5299311; 3.5553112; 1.2733466
9.5426357; -3.2017739; 1.6964390; -0.1206991; -0.4958445; 3.6258148; 1.4520366
9.7414407; -3.1683755; 1.8923342; -0.2159583; -0.4633676; 3.7045751; 1.6101854
9.9402456; -3.1170789; 2.0843543; -0.3051775; -0.4345511; 3.7900003; 1.7260196
10.1390505; -3.0494045; 2.2712136; -0.3888164; -0.4056504; 3.8794825; 1.8612312
10.3378554; -2.9668927; 2.4520274; -0.4663955; -0.3752290; 3.9737172; 2.0397471
10.5366603; -2.8710946; 2.6261402; -0.5389291; -0.3546927; 4.0744879; 2.0745520
10.7354652; -2.7632531; 2.7930682; -0.6078299; -0.3422750; 4.1744837; 1.9965333
