# 43886ca5-d6b9-4adf-a4f5-10ffcd82c781
# fd036b0216e5cee309250dbbb1b767edea871d1f
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.1196164; 2.0592746; 2.2187400; 0.8341469; 3.4397055; -0.9086916
0.1990536; -1.2671790; 1.9258566; 2.3975583; 0.9692304; 3.3867119; -0.1841576
0.3981072; -1.3862657; 1.7669361; 2.6017542; 1.0390263; 3.3758707; -0.0254009
0.5971608; -1.4702365; 1.5868741; 2.8092024; 1.0538897; 3.3743726; -0.0254009
0.7962144; -1.5151811; 1.3932694; 3.0174522; 1.0448244; 3.3728739; -0.1007895
0.9952681; -1.5190815; 1.1946356; -3.0566541; 1.0465975; 3.3669204; -0.0252664
1.1943217; -1.4817304; 0.9995141; -2.8478277; 1.0595003; 3.3654263; -0.0252664
1.3933753; -1.4045887; 0.8162881; -2.6387244; 1.0491831; 3.3639316; 0.1021624
1.5924289; -1.2912853; 0.6532348; -2.4322986; 0.9751040; 3.3699714; 0.9006947
1.7914825; -1.1485435; 0.5148173; -2.2545749; 0.8179436; 3.4227592; 2.3914270
1.9905361; -0.9851512; 0.4015112; -2.1036007; 0.6998094; 3.5591185; 3.1070281
2.1895897; -0.8075505; 0.3120034; -1.9752748; 0.5900643; 3.7288410; 3.7645771
2.3886433; -0.6205426; 0.2438907; -1.8683711; 0.4853865; 3.9246605; 4.4892500
2.5876970; -0.4279286; 0.1941304; -1.7823838; 0.3790054; 4.1461022; 5.2616519
2.7867506; -0.2320147; 0.1590392; -1.7168133; 0.2842259; 4.3914536; 5.2569790
2.9858042; -0.0343821; 0.1350928; -1.6687782; 0.1985685; 4.6236032; 5.2523103
3.1848578; 0.1639959; 0.1189743; -1.6378123; 0.1126269; 4.8444493; 5.2476457
3.3839114; 0.3627233; 0.1073581; -1.6224375; 0.0550522; 5.0554737; 5.2429852
3.5829650; 0.5615549; 0.0979571; -1.6147277; 0.0232680; 5.2578593; 5.2383289
