# d0a42f76-c722-449d-919c-fc45228b9282
# 3495cb90c4a57d85fa4e7911fb570a2c2958066a
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
3.6972895; 9.6160305; 3.7500000; 0.3000000; -0.0546562; 0.9985052; 0.0000000; 0.0000000; 1.6329943; 0.6108717; 4.0221801; -0.0909771
3.4991315; 9.5916054; 3.7660206; 0.3001441; -0.1903285; 0.9817205; -0.0001441; 0.1997720; 1.7548644; 0.6161054; 4.0176823; -0.0359774
3.3060626; 9.5406835; 3.5824083; 0.3496112; -0.3153708; 0.9489685; 0.0021626; 0.3997094; 1.8775579; 0.6200600; 4.0159022; -0.0359774
3.1205062; 9.4668497; 3.2000377; 0.4341620; -0.4212131; 0.9069617; 0.0043014; 0.5999080; 1.9945459; 0.5582075; 4.0141213; 0.9695628
2.9440529; 9.3732973; 2.9044485; 0.5439285; -0.5129370; 0.8584263; 0.0058491; 0.8002523; 2.1001000; 0.5050258; 4.0618415; 1.6309985
2.7777269; 9.2627053; 2.6235271; 0.6684040; -0.5920905; 0.8058714; 0.0070770; 1.0006825; 2.1952511; 0.4531576; 4.1408760; 2.1915214
2.6221481; 9.1374268; 2.3732602; 0.8066488; -0.6600814; 0.7511941; 0.0084057; 1.2011713; 2.2807175; 0.4074753; 4.2447557; 2.6179357
2.4775468; 8.9996081; 2.1565244; 0.9729456; -0.7177576; 0.6962931; 0.0101357; 1.4017240; 2.3576482; 0.3671631; 4.3656089; 2.9598914
2.3437962; 8.8512222; 1.9580883; 1.1474962; -0.7659979; 0.6428431; 0.0123643; 1.6023542; 2.4270262; 0.3314095; 4.4983390; 3.2487706
2.2204647; 8.6940592; 1.7753374; 1.3094783; -0.8057960; 0.5921932; 0.0150121; 1.8030614; 2.4895569; 0.2981178; 4.6396542; 3.5345779
2.1068869; 8.5297006; 1.6096246; 1.4597420; -0.8381922; 0.5453749; 0.0179137; 2.0038283; 2.5456742; 0.2668266; 4.7886671; 3.8301557
