# 9142aa2c-c69e-4c31-b678-dfe0ee62cd8f
# 3495cb90c4a57d85fa4e7911fb570a2c2958066a
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.6972895; 9.6160305; 1.6329943; 0.6108717; 4.0221801; -0.0909771
0.1987425; 3.5001712; 9.5916527; 1.7548644; 0.6161054; 4.0176823; -0.0359774
0.3974850; 3.3075020; 9.5434094; 1.8775579; 0.6200600; 4.0159022; -0.0359774
0.5962275; 3.1220495; 9.4722684; 1.9945459; 0.5582075; 4.0141213; 0.9695628
0.7949700; 2.9456097; 9.3809923; 2.1001000; 0.5050258; 4.0618415; 1.6309985
0.9937125; 2.7791858; 9.2724931; 2.1952511; 0.4531576; 4.1408760; 2.1915214
1.1924550; 2.6232011; 9.1494346; 2.2807175; 0.4074753; 4.2447557; 2.6179357
1.3911975; 2.4776914; 9.0141354; 2.3576482; 0.3671631; 4.3656089; 2.9598914
1.5899400; 2.3424424; 8.8685664; 2.4270262; 0.3314095; 4.4983390; 3.2487706
1.7886825; 2.2170703; 8.7143989; 2.4895569; 0.2981178; 4.6396542; 3.5345779
1.9874250; 2.1010497; 8.5530675; 2.5456742; 0.2668266; 4.7886671; 3.8301557
2.1861674; 1.9937430; 8.3858062; 2.5956825; 0.2365492; 4.9450745; 4.1609294
2.3849099; 1.8944149; 8.2136809; 2.6397472; 0.2069701; 5.1095664; 4.5382525
2.5836524; 1.8022470; 8.0376130; 2.6779536; 0.1775223; 5.2831389; 4.9828116
2.7823949; 1.7163404; 7.8584026; 2.7102148; 0.1470054; 5.4673713; 5.2333161
2.9811374; 1.6357081; 7.6767558; 2.7364479; 0.1170535; 5.6544066; 5.2286757
3.1798799; 1.5593156; 7.4932843; 2.7566103; 0.0856271; 5.8352921; 5.2240393
3.3786224; 1.4860499; 7.3085413; 2.7703640; 0.0525760; 6.0105833; 5.2194071
3.5773649; 1.4147145; 7.1230444; 2.7774282; 0.0183728; 6.1807562; 5.2147790
3.7761074; 1.3440540; 6.9372895; 2.7776062; -0.0166894; 6.3462228; 5.2101549
3.9748499; 1.2727748; 6.7517724; 2.7707300; -0.0526232; 6.5073422; -3.4398574
4.1735924; 1.1995587; 6.5670125; 2.7566654; -0.0889553; 6.4014225; -5.2098794
