x,y,psi,kappa,v
7.45,11.85,3.1416,0.0,5.7327
7.45,11.85,-2.3562,0.0,5.6447
7.4499,11.8499,-2.3562,0.0,5.5558
7.4497,11.8497,-2.3562,0.0,5.4661
7.4495,11.8495,-2.3562,0.0,5.3754
7.4493,11.8493,-2.3562,0.0,5.2838
7.449,11.849,-2.3562,0.0,5.1912
7.4486,11.8486,-2.3562,0.0,5.0978
7.4482,11.8482,-2.3562,0.0,5.0034
7.4478,11.8478,-2.3562,0.0,4.9082
7.4473,11.8473,-2.3562,0.0,4.8121
7.4468,11.8468,-2.3562,0.0,4.7154
7.4462,11.8462,-2.3562,0.0,4.6181
7.4456,11.8456,-2.3562,0.0,4.5206
7.4449,11.8449,-2.3562,0.0,4.423
7.4441,11.8441,-2.3562,0.0,4.3256
7.4434,11.8434,-2.3562,0.0,4.2284
7.4425,11.8425,-2.3562,0.0,4.1317
7.4417,11.8417,-2.3562,0.0,4.0356
7.4407,11.8407,-2.3562,0.0,3.9401
7.4397,11.8397,-2.3562,0.0,3.8452
7.4387,11.8387,-2.3562,0.0,3.7511
7.4376,11.8376,-2.3562,0.0,3.6576
7.4365,11.8365,-2.3562,0.0,3.5648
7.4354,11.8354,-2.3562,0.0,3.4726
7.4341,11.8341,-2.3562,0.0,3.381
7.4329,11.8329,-2.3562,0.0,3.2898
7.4315,11.8315,-2.3562,0.0,3.1992
7.4302,11.8302,-2.3562,0.0,3.1076
7.4288,11.8288,-2.3562,0.0,3.0137
7.4273,11.8273,-2.3562,0.0,2.9174
7.4258,11.8258,-2.3562,9.1217,2.8187
7.4242,11.8242,-2.3562,24.5537,2.838
7.4225,11.8227,-2.4307,28.3244,2.856
7.4205,11.8212,-2.4981,24.2362,2.8725
7.4184,11.8198,-2.5589,20.6794,2.8875
7.416,11.8185,-2.6135,17.6349,2.9011
7.4135,11.8171,-2.6627,15.0557,2.9132
7.4107,11.8159,-2.7069,12.8838,2.9238
