# 34737c49-4b66-4f76-a85e-87d3320e6f36
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
6.3987852; 9.7978038; 3.0762055; 0.5024642; 0.0621569; 0.9980664; -0.0010847; 0.0000000; 1.4998382; 0.7292290; 3.5440070; -0.0279940
6.1992741; 9.7959450; 3.0853434; 0.5000009; -0.0818929; 0.9966411; -0.0000009; 0.1996361; 1.6520613; 0.7968895; 3.5424272; -0.0279940
6.0021017; 9.7653907; 3.0921658; 0.5243469; -0.2215568; 0.9751475; -0.0010086; 0.3992899; 1.8062079; 0.7490125; 3.5408467; 0.5812153
5.8108427; 9.7084647; 2.8036719; 0.5764931; -0.3460901; 0.9382013; -0.0044474; 0.5986812; 1.9466180; 0.6580495; 3.5735172; 1.5682034
5.6281297; 9.6281864; 2.5211067; 0.6534120; -0.4553394; 0.8903179; -0.0092631; 0.7976236; 2.0710308; 0.5877102; 3.6602122; 2.0964697
5.4557594; 9.5275597; 2.3136206; 0.7481464; -0.5502983; 0.8349682; -0.0145440; 0.9960808; 2.1814400; 0.5177203; 3.7730010; 2.5982169
5.2949754; 9.4092761; 2.1177259; 0.8641012; -0.6321808; 0.7748209; -0.0192932; 1.1941055; 2.2792593; 0.4612596; 3.9082694; 2.9203841
5.1464246; 9.2759281; 1.9345072; 1.0038386; -0.7012562; 0.7129094; -0.0229667; 1.3918665; 2.3668294; 0.4147501; 4.0549276; 3.1438168
5.0102422; 9.1299497; 1.7637160; 1.1608863; -0.7590541; 0.6510275; -0.0253826; 1.5895228; 2.4446914; 0.3647169; 4.2070961; 3.5051517
4.8863126; 8.9734271; 1.6179837; 1.3191180; -0.8069592; 0.5906071; -0.0261789; 1.7872199; 2.5135177; 0.3239014; 4.3705121; 3.7704267
4.7741465; 8.8082571; 1.4996355; 1.4706357; -0.8458687; 0.5333912; -0.0252852; 1.9851268; 2.5744028; 0.2854756; 4.5397333; 4.0706074
4.6729883; 8.6361166; 1.3954466; 1.6133083; -0.8769516; 0.4805787; -0.0227815; 2.1833548; 2.6280078; 0.2509919; 4.7156149; 4.3690797
4.5818415; 8.4584659; 1.3029664; 1.7433658; -0.9012514; 0.4332966; -0.0189126; 2.3819684; 2.6749948; 0.2191200; 4.8973696; 4.6910706
4.4995202; 8.2765499; 1.2230330; 1.8579401; -0.9198525; 0.3922644; -0.0140449; 2.5809715; 2.7156630; 0.1878732; 5.0852924; 5.0838712
4.4247271; 8.0914063; 1.1549253; 1.9521965; -0.9337229; 0.3579965; -0.0085682; 2.7803153; 2.7502456; 0.1582927; 5.2814062; 5.2377753
4.3560543; 7.9039057; 1.0931366; 2.0292396; -0.9436025; 0.3310805; -0.0029481; 2.9799133; 2.7791292; 0.1304208; 5.4761163; 5.2331027
4.2920036; 7.7147702; 1.0371960; 2.0959861; -0.9502027; 0.3116326; 0.0022809; 3.1796627; 2.8021659; 0.0999398; 5.6639721; 5.2284342
4.2311149; 7.5245922; 0.9874723; 2.1570427; -0.9541299; 0.2993929; 0.0067389; 3.3794576; 2.8189952; 0.0682807; 5.8456345; 5.2237698
4.1719651; 7.3338658; 0.9369870; 2.2200449; -0.9557501; 0.2941797; 0.0101755; 3.5792202; 2.8293491; 0.0351182; 6.0216643; 5.2191097
4.1131764; 7.1430236; 0.8819002; 2.2881239; -0.9552781; 0.2957090; 0.0124635; 3.7789060; 2.8328878; 0.0002360; 6.1925419; 4.0412766
4.0534295; 6.9524816; 0.8253901; 2.3574877; -0.9527463; 0.3037673; 0.0135979; 3.9784882; 2.8294117; -0.0351627; 6.3216842; -7.4148420
3.9914375; 6.7626578; 0.7694881; 2.4247752; -0.9480473; 0.3181294; 0.0136363; 4.1779732; 2.8186972; -0.0721028; 6.0826374; -6.2858389
3.9259745; 6.5740028; 0.7154717; 2.4869859; -0.9409739; 0.3384792; 0.0127330; 4.3773842; 2.8005030; -0.1099352; 5.8723723; -5.2722993
3.8558716; 6.3870254; 0.6614254; 2.5468948; -0.9311799; 0.3645600; 0.0111132; 4.5767517; 2.7746933; -0.1482541; 5.6900221; -4.3419880
3.7800090; 6.2023137; 0.6092332; 2.6145075; -0.9181978; 0.3961223; 0.0090388; 4.7761121; 2.7411886; -0.1868919; 5.5353392; -3.4638210
3.6973196; 6.0205616; 0.5664840; 2.6975099; -0.9014460; 0.4328917; 0.0067894; 4.9754978; 2.6999367; -0.2256533; 5.4087698; -2.6329332
3.6067894; 5.8425922; 0.5343833; 2.7908608; -0.8801880; 0.4746252; 0.0046369; 5.1749338; 2.6510038; -0.2634570; 5.3105437; -1.8589628
3.5074350; 5.6694041; 0.5124022; 2.8863219; -0.8533661; 0.5213120; 0.0027514; 5.3744333; 2.5948313; -0.2987163; 5.2400831; -0.9368099
3.3982929; 5.5022223; 0.5011164; 2.9812961; -0.8199133; 0.5724877; 0.0011164; 5.5740092; 2.5313346; -0.3368654; 5.2042135; -0.0603652
3.2787222; 5.3423363; 0.5000000; 3.0842022; -0.7807470; 0.6248473; -0.0000000; 5.7736684; 2.4598843; -0.3695533; 5.2018937; -0.0603652
3.1489604; 5.1905932; 0.5065953; 3.2048702; -0.7388022; 0.6739223; 0.0002300; 5.9733631; 2.3894291; -0.3360061; 5.1995728; 0.8555761
3.0100244; 5.0472001; 0.5183711; 3.3354826; -0.6979327; 0.7161634; 0.0016254; 6.1730110; 2.3251298; -0.3072810; 5.2323708; 1.5262781
2.8634731; 4.9115912; 0.5371269; 3.4485939; -0.6609988; 0.7503870; 0.0045198; 6.3725756; 2.2665516; -0.2779665; 5.2903749; 2.1578188
2.7107725; 4.7829316; 0.5685598; 3.4892475; -0.6282410; 0.7780188; 0.0093389; 6.5720393; 2.2145112; -0.2417908; 5.3713112; 2.9597376
2.5530717; 4.6604389; 0.6413539; 3.3248923; -0.5990880; 0.8006832; 0.0160129; 6.7713874; 2.1704219; -0.1993437; 5.4803823; 3.9457915
2.3912537; 4.5434289; 0.9487850; 2.9194257; -0.5733862; 0.8192852; 0.0239840; 6.9706178; 2.1347456; -0.1575464; 5.6225013; 4.9490384
2.2260964; 4.4311732; 1.5744354; 2.2212270; -0.5515147; 0.8341652; 0.0326365; 7.1697628; 2.1074037; -0.1159541; 5.7958307; 5.2250632
2.0583127; 4.3228791; 2.2364036; 1.5100133; -0.5337514; 0.8456414; 0.0413803; 7.3688767; 2.0883657; -0.0749312; 5.9733716; 5.2204019
1.8885668; 4.2176845; 2.1914673; 1.5156440; -0.5206060; 0.8537971; 0.0496849; 7.5680497; 2.0771742; -0.0366736; 6.1456341; 5.2157448
1.7175135; 4.1146263; 1.7765461; 1.9246162; -0.5122926; 0.8588110; 0.0571772; 7.7673758; 2.0738818; 0.0034232; 6.3130506; -3.5656268
1.5457567; 4.0127517; 1.5845766; 2.1319551; -0.5088464; 0.8608573; 0.0634148; 7.9669316; 2.0783655; 0.0411845; 6.1990891; -7.3414787
1.3739009; 3.9110515; 1.6928441; 2.0439873; -0.5106054; 0.8598152; 0.0680544; 8.1668164; 2.0902212; 0.0771339; 5.9575860; -6.4035379
1.2025768; 3.8084628; 1.7878775; 1.9603926; -0.5177862; 0.8555100; 0.0708771; 8.3671127; 2.1090805; 0.1114394; 5.7386445; -5.6325342
1.0324604; 3.7038961; 1.5940773; 2.1512083; -0.5304231; 0.8477331; 0.0717624; 8.5678628; 2.1347477; 0.1445882; 5.5389148; -5.0834495
0.8642816; 3.5962465; 2.4157240; 1.3335422; -0.5487741; 0.8359707; 0.0706793; 8.7691066; 2.1665432; 0.1738580; 5.3522606; -4.5366072
0.6988933; 3.4843620; 2.8245057; 0.9878371; -0.5726831; 0.8197768; 0.0678145; 8.9708151; 2.2045433; 0.2058419; 5.1800091; -4.1401266
0.5372158; 3.3671901; 3.0463242; 0.8593665; -0.6017739; 0.7986665; 0.0632659; 9.1729072; 2.2486200; 0.2349793; 5.0176536; -3.8098802
0.3803182; 3.2436970; 3.2571421; 0.7697517; -0.6359169; 0.7717575; 0.0572742; 9.3753012; 2.2984997; 0.2639333; 4.8634625; -3.5382124
0.2294444; 3.1129185; 3.4575334; 0.6999058; -0.6746394; 0.7381475; 0.0501782; 9.5778662; 2.3541414; 0.2928007; 4.7157532; -3.2918172
