# db7e742a-146c-4d6b-a52e-6cd3c30d6c14
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.3987178; 9.7967212; 1.4998382; 0.7292290; 3.5440070; -0.0279940
0.1999512; 6.1989601; 9.7959185; 1.6520613; 0.7968895; 3.5424272; -0.0279940
0.3999023; 6.0017291; 9.7642643; 1.8062079; 0.7490125; 3.5408467; 0.5812153
0.5998535; 5.8112898; 9.7038618; 1.9466180; 0.6580495; 3.5735172; 1.5682034
0.7998047; 5.6304308; 9.6188931; 2.0710308; 0.5877102; 3.6602122; 2.0964697
0.9997559; 5.4607471; 9.5133094; 2.1814400; 0.5177203; 3.7730010; 2.5982169
1.1997070; 5.3029117; 9.3906863; 2.2792593; 0.4612596; 3.9082694; 2.9203841
1.3996582; 5.1570698; 9.2539952; 2.3668294; 0.4147501; 4.0549276; 3.1438168
1.5996094; 5.0230223; 9.1057039; 2.4446914; 0.3647169; 4.2070961; 3.5051517
1.7995606; 4.9001712; 8.9480009; 2.5135177; 0.3239014; 4.3705121; 3.7704267
1.9995117; 4.7877873; 8.7826637; 2.5744028; 0.2854756; 4.5397333; 4.0706074
2.1994629; 4.6850315; 8.6111673; 2.6280078; 0.2509919; 4.7156149; 4.3690797
2.3994141; 4.5910156; 8.4347190; 2.6749948; 0.2191200; 4.8973696; 4.6910706
2.5993653; 4.5048162; 8.2543154; 2.7156630; 0.1878732; 5.0852924; 5.0838712
2.7993164; 4.4254568; 8.0707940; 2.7502456; 0.1582927; 5.2814062; 5.2377753
2.9992676; 4.3519523; 7.8848462; 2.7791292; 0.1304208; 5.4761163; 5.2331027
3.1992188; 4.2833071; 7.6970476; 2.8021659; 0.0999398; 5.6639721; 5.2284342
3.3991699; 4.2184221; 7.5079164; 2.8189952; 0.0682807; 5.8456345; 5.2237698
3.5991211; 4.1561183; 7.3179190; 2.8293491; 0.0351182; 6.0216643; 5.2191097
3.7990723; 4.0951416; 7.1274916; 2.8328878; 0.0002360; 6.1925419; 4.0412766
3.9990235; 4.0341726; 6.9370632; 2.8294117; -0.0351627; 6.3216842; -7.4148420
4.1989746; 3.9718595; 6.7470719; 2.8186972; -0.0721028; 6.0826374; -6.2858389
4.3989258; 3.9068104; 6.5580022; 2.8005030; -0.1099352; 5.8723723; -5.2722993
4.5988770; 3.8376200; 6.3704115; 2.7746933; -0.1482541; 5.6900221; -4.3419880
4.7988282; 3.7628999; 6.1849579; 2.7411886; -0.1868919; 5.5353392; -3.4638210
4.9987793; 3.6813040; 6.0024298; 2.6999367; -0.2256533; 5.4087698; -2.6329332
5.1987305; 3.5915635; 5.8237711; 2.6510038; -0.2634570; 5.3105437; -1.8589628
5.3986817; 3.4925567; 5.6500837; 2.5948313; -0.2987163; 5.2400831; -0.9368099
5.5986329; 3.3833517; 5.4826272; 2.5313346; -0.3368654; 5.2042135; -0.0603652
5.7985840; 3.2631127; 5.3229180; 2.4598843; -0.3695533; 5.2018937; -0.0603652
5.9985352; 3.1316678; 5.1722915; 2.3894291; -0.3360061; 5.1995728; 0.8555761
6.1984864; 2.9903905; 5.0308424; 2.3251298; -0.3072810; 5.2323708; 1.5262781
6.3984375; 2.8406902; 4.8983308; 2.2665516; -0.2779665; 5.2903749; 2.1578188
6.5983887; 2.6838748; 4.7743116; 2.2145112; -0.2417908; 5.3713112; 2.9597376
6.7983399; 2.5212641; 4.6579860; 2.1704219; -0.1993437; 5.4803823; 3.9457915
6.9982911; 2.3541428; 4.5482328; 2.1347456; -0.1575464; 5.6225013; 4.9490384
7.1982422; 2.1836448; 4.4437969; 2.1074037; -0.1159541; 5.7958307; 5.2250632
7.3981934; 2.0107706; 4.3433414; 2.0883657; -0.0749312; 5.9733716; 5.2204019
7.5981446; 1.8364011; 4.2454993; 2.0771742; -0.0366736; 6.1456341; 5.2157448
7.7980958; 1.6613230; 4.1489286; 2.0738818; 0.0034232; 6.3130506; -3.5656268
7.9980469; 1.4863076; 4.0522473; 2.0783655; 0.0411845; 6.1990891; -7.3414787
8.1979981; 1.3120895; 3.9541335; 2.0902212; 0.0771339; 5.9575860; -6.4035379
8.3979493; 1.1394013; 3.8533504; 2.1090805; 0.1114394; 5.7386445; -5.6325342
8.5979005; 0.9690019; 3.7487467; 2.1347477; 0.1445882; 5.5389148; -5.0834495
8.7978516; 0.8016838; 3.6392765; 2.1665432; 0.1738580; 5.3522606; -4.5366072
8.9978028; 0.6382825; 3.5240456; 2.2045433; 0.2058419; 5.1800091; -4.1401266
9.1977540; 0.4797557; 3.4022020; 2.2486200; 0.2349793; 5.0176536; -3.8098802
9.3977051; 0.3271279; 3.2730497; 2.2984997; 0.2639333; 4.8634625; -3.5382124
9.5976563; 0.1815282; 3.1360317; 2.3541414; 0.2928007; 4.7157532; -3.2918172
9.7976075; 0.0442033; 2.9907318; 2.4156742; 0.3228602; 4.5740488; -3.0821537
9.9975587; -0.0834570; 2.8368826; 2.4832672; 0.3535803; 4.4372697; -2.8760561
10.1975098; -0.1999209; 2.6744046; 2.5571892; 0.3864942; 4.3057195; -2.5898575
10.3974610; -0.3034637; 2.5034155; 2.6383148; 0.4255821; 4.1837221; -2.2374789
10.5974122; -0.3920776; 2.3242481; 2.7277126; 0.4696060; 4.0753843; -1.6477970
10.7973634; -0.4634392; 2.1375541; 2.8271467; 0.5258865; 3.9937200; -0.8330485
10.9973145; -0.5147773; 1.9444119; 2.9385775; 0.5892290; 3.9517922; -0.0348068
11.1972657; -0.5431129; 1.7466065; 3.0619564; 0.6409130; 3.9500306; -0.0348068
11.3972169; -0.5468577; 1.5468128; -3.1025578; 0.5480673; 3.9482683; 1.4215003
11.5971681; -0.5286430; 1.3477965; -3.0006783; 0.4738275; 4.0196124; 2.3081899
11.7971192; -0.4912138; 1.1514601; -2.9056611; 0.4772571; 4.1328361; 1.8101853
11.9970704; -0.4351340; 0.9596079; -2.8079562; 0.4992373; 4.2195061; 1.0717461
12.1970216; -0.3604551; 0.7742064; -2.7099768; 0.4810386; 4.2699913; 1.1886335
12.3969727; -0.2684283; 0.5967688; -2.6175262; 0.4440869; 4.3252934; 1.6502158
12.5969239; -0.1610801; 0.4281444; -2.5333749; 0.3989713; 4.4009190; 2.2294812
12.7968751; -0.0405003; 0.2687046; -2.4553825; 0.3814982; 4.5010735; 2.2257790
12.9968263; 0.0918538; 0.1188892; -2.3813547; 0.3592218; 4.5988865; 2.3553659
13.1967774; 0.2346097; -0.0210583; -2.3119740; 0.3351029; 4.7001780; 2.5477340
13.3967286; 0.3864720; -0.1510734; -2.2460689; 0.3243829; 4.8073401; 2.4517876
13.5966798; 0.5464514; -0.2709630; -2.1820354; 0.3163206; 4.9082577; 2.3257787
13.7966310; 0.7136728; -0.3805291; -2.1200373; 0.3039542; 5.0021074; 2.3389219
13.9965821; 0.8872463; -0.4797312; -2.0603549; 0.2932300; 5.0947442; 2.3308965
14.1965333; 1.0663398; -0.5685858; -2.0026377; 0.2842657; 5.1854170; 2.2965248
14.3964845; 1.2501913; -0.6471282; -1.9467417; 0.2749400; 5.2732282; 2.2927285
14.5964357; 1.4380820; -0.7154517; -1.8926970; 0.2657531; 5.3594592; 2.3024818
14.7963868; 1.6293375; -0.7737010; -1.8404724; 0.2567116; 5.4446828; 2.3237645
14.9963380; 1.8233301; -0.8220648; -1.7900892; 0.2472962; 5.5293625; 2.3709987
15.1962892; 2.0194773; -0.8607828; -1.7415946; 0.2378258; 5.6144472; 2.4329320
15.3962403; 2.2172456; -0.8901264; -1.6948649; 0.2297105; 5.7004344; 2.4630780
15.5961915; 2.4161549; -0.9103445; -1.6494999; 0.2242518; 5.7861856; 2.4173747
15.7961427; 2.6157711; -0.9216252; -1.6051624; 0.2192902; 5.8691275; 2.3693406
15.9960939; 2.8156906; -0.9241473; -1.5618327; 0.2141320; 5.9492993; 2.3420179
16.1960450; 3.0155355; -0.9181077; -1.5194908; 0.2094607; 6.0274987; 2.3090895
16.3959962; 3.2149530; -0.9037061; -1.4780681; 0.2049021; 6.1036179; 2.2834394
16.5959474; 3.4136136; -0.8811471; -1.4375205; 0.2007291; 6.1779692; 2.2535678
16.7958986; 3.6112093; -0.8506334; -1.3977700; 0.1969242; 6.2504808; 2.2193104
16.9958497; 3.8074510; -0.8123639; -1.3587495; 0.1934218; 6.3210773; 2.1825006
17.1958009; 4.0020662; -0.7665334; -1.3203867; 0.1903550; 6.3897422; 2.1369498
17.3957521; 4.1947962; -0.7133285; -1.2825909; 0.1877509; 6.4562665; 2.0809211
17.5957033; 4.3853943; -0.6529284; -1.2453196; 0.1850676; 6.5203943; 2.0369044
17.7956544; 4.5736276; -0.5855180; -1.2085752; 0.1824963; 6.5825606; 1.9957568
17.9956056; 4.7592757; -0.5112832; -1.1723020; 0.1803777; 6.6429069; 1.9418122
18.1955568; 4.9421262; -0.4304018; -1.1364296; 0.1784665; 6.7011005; 1.8858341
18.3955079; 5.1219741; -0.3430464; -1.1008987; 0.1769794; 6.7571368; 1.8174578
18.5954591; 5.2986186; -0.2493821; -1.0656403; 0.1757244; 6.8107050; 1.7454223
18.7954103; 5.4718640; -0.1495704; -1.0306295; 0.1744902; 6.8617564; 1.6793204
18.9953615; 5.6415218; -0.0437753; -0.9958424; 0.1735023; 6.9105185; 1.6078189
19.1953126; 5.8074075; 0.0678419; -0.9612216; 0.1728296; 6.9568841; 1.5273856
19.3952638; 5.9693370; 0.1851248; -0.9267074; 0.1724335; 7.0006458; 1.4398701
19.5952150; 6.1271279; 0.3079195; -0.8922720; 0.1720231; 7.0416510; 1.3596445
19.7951662; 6.2806018; 0.4360688; -0.8578946; 0.1718702; 7.0801535; 1.2725625
19.9951173; 6.4295819; 0.5694159; -0.8235327; 0.1718611; 7.1160013; 1.1844265
20.1950685; 6.5739001; 0.7077949; -0.7893385; 0.1700815; 7.1492048; 1.1929207
20.3950197; 6.7134364; 0.8509950; -0.7556549; 0.1667746; 7.1824913; 1.2813182
20.5949709; 6.8481175; 0.9987711; -0.7225701; 0.1642193; 7.2180734; 1.3278505
20.7949220; 6.9778775; 1.1508870; -0.6900375; 0.1611762; 7.2547635; 1.3996297
20.9948732; 7.1026665; 1.3071073; -0.6580654; 0.1586720; 7.2932372; 1.4413667
21.1948244; 7.2224379; 1.4672073; -0.6265909; 0.1561666; 7.3326472; 1.4833345
21.3947755; 7.3371521; 1.6309692; -0.5956015; 0.1538294; 7.3729847; 1.5164255
21.5947267; 7.4467760; 1.7981816; -0.5650748; 0.1515319; 7.4139953; 1.5480730
