# fe5f6c90-3dd9-4743-9fa1-961a817a141d
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
6.4593273; 10.2916168; 2.5786697; 1.0000000; 0.1386995; 0.9903345; -0.0000000; 0.0000000; 1.4357121; 0.8485237; 3.4329543; -0.0262905
6.2601969; 10.3026066; 2.5779792; 1.0007347; -0.0298061; 0.9995557; -0.0006962; 0.1996027; 1.6014913; 0.8164123; 3.4314254; 0.3607394
6.0620793; 10.2797427; 2.6254313; 1.0000041; -0.1978920; 0.9802238; -0.0000041; 0.3991909; 1.7623493; 0.7979631; 3.4523444; 0.4627431
5.8703657; 10.2246828; 2.6001947; 1.0026505; -0.3494614; 0.9369508; 0.0020771; 0.5990205; 1.9157521; 0.7423275; 3.4789944; 0.9883116
5.6888698; 10.1418407; 2.4263377; 1.0124942; -0.4761896; 0.8793426; 0.0042743; 0.7991471; 2.0575495; 0.6813391; 3.5352400; 1.4567973
5.5196926; 10.0360237; 2.2217852; 1.0311047; -0.5803074; 0.8143975; 0.0053609; 0.9994262; 2.1877804; 0.6258554; 3.6165527; 1.7849750
5.3638500; 9.9113564; 2.0647509; 1.0614857; -0.6655266; 0.7463741; 0.0045381; 1.1996600; 2.3076923; 0.5774212; 3.7137567; 2.0054460
5.2216271; 9.7713258; 1.9346260; 1.1065504; -0.7346202; 0.6784785; 0.0011871; 1.3996603; 2.4187199; 0.5364107; 3.8200175; 2.1398551
5.0927865; 9.6188744; 1.8080618; 1.1693018; -0.7905255; 0.6124291; -0.0052132; 1.5992830; 2.5211357; 0.4906585; 3.9302331; 2.3864707
4.9769053; 9.4563410; 1.6835778; 1.2547906; -0.8359661; 0.5487811; -0.0146512; 1.7984206; 2.6143746; 0.4442042; 4.0496143; 2.6787448
4.8734538; 9.2856146; 1.5654047; 1.3578087; -0.8728746; 0.4879446; -0.0267460; 1.9970036; 2.6981418; 0.3955213; 4.1795563; 3.0517904
4.7818562; 9.1082308; 1.4687463; 1.4648611; -0.9028201; 0.4300184; -0.0408124; 2.1949888; 2.7719777; 0.3445197; 4.3228371; 3.5203012
4.7015316; 8.9254496; 1.3930920; 1.5705374; -0.9270324; 0.3749813; -0.0559038; 2.3923491; 2.8354004; 0.2910152; 4.4824294; 4.1080508
4.6319092; 8.7383175; 1.3299976; 1.6699209; -0.9464675; 0.3227991; -0.0708627; 2.5890802; 2.8879570; 0.2355536; 4.6617643; 4.8324572
4.5724064; 8.5477202; 1.2772737; 1.7589206; -0.9618151; 0.2737002; -0.0844158; 2.7852431; 2.9295031; 0.1808121; 4.8642668; 5.2472165
4.5223410; 8.3544357; 1.2358109; 1.8346686; -0.9735437; 0.2285007; -0.0953821; 2.9810283; 2.9605876; 0.1310815; 5.0750077; 5.2425438
4.4807922; 8.1591500; 1.2066423; 1.8925456; -0.9820274; 0.1887382; -0.1029587; 3.1768081; 2.9826890; 0.0904406; 5.2771629; 5.2378753
4.4465320; 7.9624468; 1.1855807; 1.9321713; -0.9878286; 0.1555464; -0.1068691; 3.3729806; 2.9968582; 0.0519530; 5.4716845; 5.2332109
4.4182047; 7.7648153; 1.1688283; 1.9596410; -0.9915849; 0.1294582; -0.1070410; 3.5698135; 3.0037665; 0.0184184; 5.6593596; 5.2285507
4.3942722; 7.5665964; 1.1589276; 1.9796629; -0.9937245; 0.1118556; -0.1037140; 3.7676287; 3.0050495; -0.0063725; 5.8408485; 5.2238946
4.3729572; 7.3680669; 1.1527337; 1.9973304; -0.9946847; 0.1029674; -0.0975946; 3.9664896; 3.0006210; -0.0373257; 6.0167112; 5.2192427
4.3525936; 7.1694494; 1.1424151; 2.0199111; -0.9947327; 0.1025033; -0.0891722; 4.1662767; 2.9905587; -0.0637481; 6.1874274; -5.8163570
4.3314504; 6.9709084; 1.1277122; 2.0470033; -0.9938565; 0.1106760; -0.0790695; 4.3668812; 2.9749506; -0.0926116; 5.9968703; -6.0215841
4.3078443; 6.7726534; 1.1113486; 2.0754469; -0.9918809; 0.1271703; -0.0678347; 4.5680665; 2.9536065; -0.1207817; 5.7929894; -5.5008018
4.2800878; 6.5749362; 1.0937648; 2.1036143; -0.9883198; 0.1523938; -0.0560420; 4.7696422; 2.9270690; -0.1456869; 5.6002578; -4.8912327
4.2464199; 6.3781356; 1.0767085; 2.1274107; -0.9825189; 0.1861631; -0.0444450; 4.9713575; 2.8949835; -0.1759371; 5.4231338; -4.3363526
4.2052264; 6.1827846; 1.0566579; 2.1533129; -0.9737186; 0.2277545; -0.0335531; 5.1729614; 2.8568059; -0.2068470; 5.2611189; -3.7822869
4.1549760; 5.9895712; 1.0335852; 2.1888904; -0.9609286; 0.2767964; -0.0237659; 5.3743027; 2.8122478; -0.2398243; 5.1156172; -3.2367323
4.0942275; 5.7993987; 1.0170143; 2.2446788; -0.9429871; 0.3328291; -0.0153991; 5.5752846; 2.7609910; -0.2740938; 4.9877333; -2.6390402
4.0216392; 5.6134302; 1.0067587; 2.3146884; -0.9185748; 0.3952472; -0.0087183; 5.7758607; 2.7026096; -0.3112030; 4.8809853; -1.9641753
3.9360206; 5.4331011; 1.0016485; 2.3892804; -0.8862512; 0.4632049; -0.0038909; 5.9760483; 2.6365518; -0.3510087; 4.7999946; -1.1713775
3.8363576; 5.2601509; 1.0001264; 2.4674372; -0.8443743; 0.5357537; -0.0010121; 6.1759283; 2.5622916; -0.3933563; 4.7510369; -0.2465273
3.7219672; 5.0965718; 1.0000000; 2.5566681; -0.7925037; 0.6098671; -0.0000000; 6.3756404; 2.4793385; -0.4362211; 4.7406689; -0.0500906
3.5931785; 4.9440659; 1.0000000; 2.6650456; -0.7346574; 0.6784383; -0.0000242; 6.5753167; 2.3911956; -0.4453560; 4.7385595; -0.0500906
3.4515867; 4.8033616; 1.0000809; 2.7913982; -0.6741128; 0.7386284; 0.0000809; 6.7749907; 2.3050791; -0.4173476; 4.7364491; 0.5871987
3.2986681; 4.6750624; 1.0000098; 2.9186945; -0.6105683; 0.7919636; 0.0000098; 6.9746510; 2.2258816; -0.3762745; 4.7611292; 1.4199095
3.1358634; 4.5595488; 1.0013439; 3.0120291; -0.5468693; 0.8372180; -0.0011633; 7.1743623; 2.1553024; -0.3314533; 4.8202861; 2.2467977
2.9649432; 4.4564128; 1.0105645; 3.0194769; -0.4871300; 0.8733295; -0.0038016; 7.3742101; 2.0930476; -0.2926155; 4.9124380; 2.8847546
2.7876618; 4.3646156; 1.0742682; 2.8630512; -0.4334684; 0.9011688; -0.0076765; 7.5742551; 2.0382919; -0.2560876; 5.0282798; 3.4687807
2.6055156; 4.2828662; 1.3853087; 2.4646388; -0.3864872; 0.9222948; -0.0124279; 7.7744950; 1.9910394; -0.2176496; 5.1641344; 4.1361670
2.4197139; 4.2098013; 2.0065455; 1.7809846; -0.3466366; 0.9379995; -0.0178197; 7.9748765; 1.9511988; -0.1816341; 5.3215957; 4.7930583
2.2312347; 4.1439354; 2.4695892; 1.2735543; -0.3144049; 0.9492890; -0.0235686; 8.1753272; 1.9186027; -0.1452087; 5.4984269; 5.2325564
