# e7e11c88-2865-4c5b-ad91-f506c50eafa5
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.4593273; 10.2916168; 1.4357121; 0.8485237; 3.4329543; -0.0262905
0.1995926; 6.2602278; 10.3019110; 1.6014913; 0.8164123; 3.4314254; 0.3607394
0.3991852; 6.0620856; 10.2797398; 1.7623493; 0.7979631; 3.4523444; 0.4627431
0.5987778; 5.8698684; 10.2267111; 1.9157521; 0.7423275; 3.4789944; 0.9883116
0.7983704; 5.6875211; 10.1459629; 2.0575495; 0.6813391; 3.5352400; 1.4567973
0.9979630; 5.5177747; 10.0412367; 2.1877804; 0.6258554; 3.6165527; 1.7849750
1.1975556; 5.3623866; 9.9161580; 2.3076923; 0.5774212; 3.7137567; 2.0054460
1.3971483; 5.2224143; 9.7740146; 2.4187199; 0.5364107; 3.8200175; 2.1398551
1.5967409; 5.0983827; 9.6177486; 2.5211357; 0.4906585; 3.9302331; 2.3864707
1.7963335; 4.9902011; 9.4501025; 2.6143746; 0.4442042; 4.0496143; 2.6787448
1.9959261; 4.8972612; 9.2735360; 2.6981418; 0.3955213; 4.1795563; 3.0517904
2.1955187; 4.8185107; 9.0901859; 2.7719777; 0.3445197; 4.3228371; 3.5203012
2.3951113; 4.7525213; 8.9018492; 2.8354004; 0.2910152; 4.4824294; 4.1080508
2.5947039; 4.6975619; 8.7099931; 2.8879570; 0.2355536; 4.6617643; 4.8324572
2.7942965; 4.6516844; 8.5157606; 2.9295031; 0.1808121; 4.8642668; 5.2472165
2.9938891; 4.6128746; 8.3199965; 2.9605876; 0.1310815; 5.0750077; 5.2425438
3.1934817; 4.5792527; 8.1232756; 2.9826890; 0.0904406; 5.2771629; 5.2378753
3.3930743; 4.5491968; 7.9259768; 2.9968582; 0.0519530; 5.4716845; 5.2332109
3.5926669; 4.5212076; 7.7283756; 3.0037665; 0.0184184; 5.6593596; 5.2285507
3.7922595; 4.4939917; 7.5306481; 3.0050495; -0.0063725; 5.8408485; 5.2238946
3.9918521; 4.4664878; 7.3329539; 3.0006210; -0.0373257; 6.0167112; 5.2192427
4.1914448; 4.4375350; 7.1354649; 2.9905587; -0.0637481; 6.1874274; -5.8163570
4.3910374; 4.4060579; 6.9383573; 2.9749506; -0.0926116; 5.9968703; -6.0215841
4.5906300; 4.3709444; 6.7418704; 2.9536065; -0.1207817; 5.7929894; -5.5008018
4.7902226; 4.3311243; 6.5462823; 2.9270690; -0.1456869; 5.6002578; -4.8912327
4.9898152; 4.2856092; 6.3519477; 2.8949835; -0.1759371; 5.4231338; -4.3363526
5.1894078; 4.2333006; 6.1593400; 2.8568059; -0.2068470; 5.2611189; -3.7822869
5.3890004; 4.1730800; 5.9690644; 2.8122478; -0.2398243; 5.1156172; -3.2367323
5.5885930; 4.1038227; 5.7818965; 2.7609910; -0.2740938; 4.9877333; -2.6390402
5.7881856; 4.0244261; 5.5988082; 2.7026096; -0.3112030; 4.8809853; -1.9641753
5.9877782; 3.9338110; 5.4210152; 2.6365518; -0.3510087; 4.7999946; -1.1713775
6.1873708; 3.8309679; 5.2500163; 2.5622916; -0.3933563; 4.7510369; -0.2465273
6.3869634; 3.7150268; 5.0876252; 2.4793385; -0.4362211; 4.7406689; -0.0500906
6.5865560; 3.5855525; 4.9358097; 2.3911956; -0.4453560; 4.7385595; -0.0500906
6.7861486; 3.4432669; 4.7959256; 2.3050791; -0.4173476; 4.7364491; 0.5871987
6.9857413; 3.2898835; 4.6682967; 2.2258816; -0.3762745; 4.7611292; 1.4199095
7.1853339; 3.1273641; 4.5525066; 2.1553024; -0.3314533; 4.8202861; 2.2467977
7.3849265; 2.9575202; 4.4477351; 2.0930476; -0.2926155; 4.9124380; 2.8847546
7.5845191; 2.7818367; 4.3530623; 2.0382919; -0.2560876; 5.0282798; 3.4687807
7.7841117; 2.6015455; 4.2674725; 1.9910394; -0.2176496; 5.1641344; 4.1361670
7.9837043; 2.4176975; 4.1898025; 1.9511988; -0.1816341; 5.3215957; 4.7930583
8.1832969; 2.2311524; 4.1188408; 1.9186027; -0.1452087; 5.4984269; 5.2325564
8.3828895; 2.0426192; 4.0533343; 1.8928835; -0.1125532; 5.6851964; 5.2278968
8.5824821; 1.8526615; 3.9920771; 1.8737028; -0.0795157; 5.8658637; 5.2232413
8.7820747; 1.6617610; 3.9338182; 1.8615267; -0.0425237; 6.0409766; 5.2185900
8.9816673; 1.4703680; 3.8771946; 1.8565165; -0.0077190; 6.2110049; -8.8171965
9.1812599; 1.2788835; 3.8208842; 1.8581605; 0.0243043; 5.9208857; -8.2243994
9.3808525; 1.0876792; 3.7636375; 1.8663664; 0.0581133; 5.6368279; -7.2823068
9.5804451; 0.8971628; 3.7041555; 1.8817322; 0.0963767; 5.3727869; -6.1667528
9.7800378; 0.7078531; 3.6409481; 1.9060413; 0.1474012; 5.1385954; -5.0776119
9.9796304; 0.5204998; 3.5721663; 1.9411345; 0.2041480; 4.9374341; -4.1300043
10.1792230; 0.3361086; 3.4958139; 1.9874973; 0.2604840; 4.7675590; -3.2205658
10.3788156; 0.1559464; 3.4099759; 2.0452910; 0.3183765; 4.6307684; -2.4533177
10.5784082; -0.0184057; 3.3129000; 2.1141473; 0.3709969; 4.5237914; -1.9683128
10.7780008; -0.1851298; 3.2032598; 2.1922142; 0.4103664; 4.4360982; -1.8871375
10.9775934; -0.3423898; 3.0804429; 2.2761417; 0.4309010; 4.3503620; -1.8485221
11.1771860; -0.4885248; 2.9445876; 2.3640157; 0.4504160; 4.2647095; -1.6857114
11.3767786; -0.6218445; 2.7961462; 2.4564875; 0.4769306; 4.1850730; -1.3959498
11.5763712; -0.7404255; 2.6356976; 2.5548603; 0.5096171; 4.1179598; -0.9600017
11.7759638; -0.8420742; 2.4640354; 2.6603746; 0.5476510; 4.0711638; -0.6439610
11.9755564; -0.9244481; 2.2823465; 2.7724507; 0.5756119; 4.0394696; -0.4704278
12.1751490; -0.9855125; 2.0924409; 2.8891677; 0.5930462; 4.0161583; -0.3761810
12.3747417; -1.0239284; 1.8966932; 3.0059696; 0.5794883; 3.9974193; -0.7462227
12.5743343; -1.0394114; 1.6978165; 3.1219803; 0.5841558; 3.9599849; -0.8710986
12.7739269; -1.0316357; 1.4984945; -3.0436307; 0.5966075; 3.9158333; -0.3021888
12.9735195; -1.0000650; 1.3015478; -2.9201659; 0.6396944; 3.9004001; -0.0339075
13.1731121; -0.9438130; 1.1101915; -2.7904862; 0.6579127; 3.8986646; -0.0339075
13.3727047; -0.8632504; 0.9277260; -2.6620294; 0.6289226; 3.8969283; 0.4152720
13.5722973; -0.7606358; 0.7566656; -2.5424249; 0.5707790; 3.9181400; 1.2032556
13.7718899; -0.6392472; 0.5983483; -2.4344368; 0.5128049; 3.9789625; 1.8458811
13.9714825; -0.5022798; 0.4532769; -2.3370261; 0.4642422; 4.0705026; 2.2710125
14.1710751; -0.3524465; 0.3215147; -2.2485786; 0.4223966; 4.1803763; 2.5794041
14.3706677; -0.1920484; 0.2028191; -2.1685834; 0.3802741; 4.3017678; 2.9216679
14.5702603; -0.0230633; 0.0966896; -2.0955078; 0.3521499; 4.4352556; 3.0288030
