# 6f082c2a-74c4-4d1f-a5d1-9f4185ab2377
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
4.1995855; 10.5320866; 3.4868668; 0.5380130; 0.0293276; 0.9995699; 0.0009695; 0.0000000; 1.5471184; 0.7609750; 3.5602467; -0.0282512
4.0006507; 10.5226089; 3.5186548; 0.5001053; -0.1270645; 0.9918945; -0.0001053; 0.1994260; 1.7016975; 0.7896357; 3.5586610; -0.0282512
3.8057935; 10.4814639; 3.4936547; 0.5006692; -0.2829169; 0.9591444; 0.0000969; 0.3987669; 1.8528173; 0.7252736; 3.5570745; 0.7950473
3.6194002; 10.4112123; 3.4803679; 0.5383409; -0.4175520; 0.9086530; 0.0018373; 0.5982622; 1.9916047; 0.6659882; 3.6014546; 1.3328818
3.4441326; 10.3164828; 3.2972723; 0.6022555; -0.5294356; 0.8483502; 0.0040619; 0.7980088; 2.1180795; 0.6019180; 3.6746547; 1.8421257
3.2815128; 10.2013425; 2.9741185; 0.6861681; -0.6227817; 0.7823956; 0.0063173; 0.9979761; 2.2325290; 0.5451105; 3.7734852; 2.2063029
3.1323248; 10.0692311; 2.6746153; 0.7848954; -0.7000419; 0.7141018; 0.0084602; 1.1981124; 2.3364334; 0.4960404; 3.8885494; 2.4657325
2.9967731; 9.9231393; 2.3930894; 0.8945145; -0.7634084; 0.6459161; 0.0103383; 1.3983605; 2.4309277; 0.4506655; 4.0132418; 2.7056020
2.8746574; 9.7656270; 2.1550060; 1.0180970; -0.8149164; 0.5795785; 0.0118521; 1.5986632; 2.5167701; 0.4092236; 4.1457512; 2.9282281
2.7654945; 9.5988634; 1.9656076; 1.1549914; -0.8565800; 0.5160143; 0.0129777; 1.7989745; 2.5940940; 0.3652079; 4.2845486; 3.2547960
2.6686664; 9.4246379; 1.8071538; 1.2901125; -0.8899320; 0.4560932; 0.0139142; 1.9992624; 2.6632395; 0.3272509; 4.4337292; 3.5230632
2.5833298; 9.2444962; 1.6613313; 1.4168008; -0.9161639; 0.4008039; 0.0147276; 2.1995038; 2.7248211; 0.2893721; 4.5897441; 3.8571656
2.5085088; 9.0597318; 1.5235488; 1.5362036; -0.9364785; 0.3507251; 0.0154812; 2.3996845; 2.7790634; 0.2537398; 4.7546874; 4.2132589
2.4431020; 8.8714226; 1.4004665; 1.6506770; -0.9518934; 0.3064292; 0.0161835; 2.5997914; 2.8262643; 0.2188300; 4.9285543; 4.6302897
2.3859127; 8.6804517; 1.2931484; 1.7651330; -0.9633154; 0.2683718; 0.0168039; 2.7998110; 2.8666455; 0.1854495; 5.1128158; 5.0938698
2.3356664; 8.4875335; 1.1944228; 1.8798809; -0.9715677; 0.2367619; 0.0172693; 2.9997315; 2.9002277; 0.1507093; 5.3081416; 5.2371437
2.2910679; 8.2932284; 1.1044367; 1.9835025; -0.9773137; 0.2117968; 0.0175518; 3.1995412; 2.9270446; 0.1177578; 5.5017361; 5.2324752
2.2507551; 8.0979864; 1.0290714; 2.0666740; -0.9810433; 0.1937885; 0.0175487; 3.3992277; 2.9472954; 0.0849429; 5.6885822; 5.2278109
2.2133431; 7.9021662; 0.9606641; 2.1350711; -0.9831793; 0.1826432; 0.0171530; 3.5987887; 2.9607932; 0.0501248; 5.8693246; 5.2231507
2.1774872; 7.7060541; 0.8921583; 2.1981545; -0.9840003; 0.1781669; 0.0163673; 3.7982303; 2.9672694; 0.0146764; 6.0445110; 5.2184947
2.1418644; 7.5098994; 0.8244027; 2.2643330; -0.9836127; 0.1802944; 0.0152527; 3.9975630; 2.9666185; -0.0212141; 6.2146114; 4.1459638
2.1051628; 7.3139442; 0.7592257; 2.3387179; -0.9819799; 0.1889854; 0.0138962; 4.1968026; 2.9587874; -0.0571885; 6.3465028; -6.5722582
2.0660771; 7.1184519; 0.6976989; 2.4202022; -0.9789286; 0.2042030; 0.0123907; 4.3959682; 2.9437579; -0.0932686; 6.1361112; -5.5237912
2.0233065; 6.9237348; 0.6447125; 2.5053425; -0.9741349; 0.2259674; 0.0108202; 4.5950799; 2.9216023; -0.1285183; 5.9535355; -4.5830693
1.9755406; 6.7301854; 0.6049591; 2.5922183; -0.9671227; 0.2543103; 0.0092164; 4.7941581; 2.8924426; -0.1633856; 5.7976906; -3.7047609
1.9214742; 6.5383046; 0.5760304; 2.6814336; -0.9572832; 0.2891521; 0.0075710; 4.9932251; 2.8563283; -0.1981439; 5.6685813; -2.8561615
1.8598257; 6.3487286; 0.5498555; 2.7752734; -0.9438602; 0.3303451; 0.0058503; 5.1923059; 2.8132875; -0.2327404; 5.5670017; -1.9816325
1.7893507; 6.1622596; 0.5240432; 2.8753480; -0.9259506; 0.3776446; 0.0039930; 5.3914297; 2.7633055; -0.2677427; 5.4954217; -0.8193621
1.7089079; 5.9798754; 0.5055338; 2.9818613; -0.9027958; 0.4300695; 0.0020114; 5.5906322; 2.7056145; -0.3095608; 5.4655509; -0.0665801
