# f48dde7b-52f6-418e-84ca-35b0962c2486
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.1996139; 10.5330556; 1.5471184; 0.7609750; 3.5602467; -0.0282512
0.1997972; 4.0002961; 10.5224560; 1.7016975; 0.7896357; 3.5586610; -0.0282512
0.3995944; 3.8049716; 10.4813269; 1.8528173; 0.7252736; 3.5570745; 0.7950473
0.5993916; 3.6176027; 10.4124211; 1.9916047; 0.6659882; 3.6014546; 1.3328818
0.7991888; 3.4409748; 10.3193154; 2.1180795; 0.6019180; 3.6746547; 1.8421257
0.9989860; 3.2767820; 10.2056650; 2.2325290; 0.5451105; 3.7734852; 2.2063029
1.1987831; 3.1259188; 10.0748079; 2.3364334; 0.4960404; 3.8885494; 2.4657325
1.3985803; 2.9887374; 9.9296504; 2.4309277; 0.4506655; 4.0132418; 2.7056020
1.5983775; 2.8651659; 9.7727280; 2.5167701; 0.4092236; 4.1457512; 2.9282281
1.7981747; 2.7547943; 9.6062430; 2.5940940; 0.3652079; 4.2845486; 3.2547960
1.9979719; 2.6568775; 9.4321297; 2.6632395; 0.3272509; 4.4337292; 3.5230632
2.1977691; 2.5705386; 9.2519853; 2.7248211; 0.2893721; 4.5897441; 3.8571656
2.3975663; 2.4947616; 9.0671419; 2.7790634; 0.2537398; 4.7546874; 4.2132589
2.5973635; 2.4284492; 8.8786896; 2.8262643; 0.2188300; 4.9285543; 4.6302897
2.7971607; 2.3704440; 8.6875118; 2.8666455; 0.1854495; 5.1128158; 5.0938698
2.9969579; 2.3195504; 8.4943149; 2.9002277; 0.1507093; 5.3081416; 5.2371437
3.1967551; 2.2745068; 8.2996673; 2.9270446; 0.1177578; 5.5017361; 5.2324752
3.3965523; 2.2340552; 8.1040115; 2.9472954; 0.0849429; 5.6885822; 5.2278109
3.5963494; 2.1969170; 7.9076979; 2.9607932; 0.0501248; 5.8693246; 5.2231507
3.7961466; 2.1617430; 7.7110217; 2.9672694; 0.0146764; 6.0445110; 5.2184947
3.9959438; 2.1271435; 7.5142434; 2.9666185; -0.0212141; 6.2146114; 4.1459638
4.1957410; 2.0917100; 7.3176140; 2.9587874; -0.0571885; 6.3465028; -6.5722582
4.3955382; 2.0540320; 7.1214037; 2.9437579; -0.0932686; 6.1361112; -5.5237912
4.5953354; 2.0127104; 6.9259305; 2.9216023; -0.1285183; 5.9535355; -4.5830693
4.7951326; 1.9663871; 6.7315848; 2.8924426; -0.1633856; 5.7976906; -3.7047609
4.9949298; 1.9137473; 6.5388580; 2.8563283; -0.1981439; 5.6685813; -2.8561615
5.1947270; 1.8535240; 6.3483696; 2.8132875; -0.2327404; 5.5670017; -1.9816325
5.3945242; 1.7845120; 6.1608920; 2.7633055; -0.2677427; 5.4954217; -0.8193621
5.5943214; 1.7055364; 5.9773963; 2.7056145; -0.3095608; 5.4655509; -0.0665801
5.7941186; 1.6154621; 5.7990940; 2.6411210; -0.3350573; 5.4631165; -0.0665801
5.9939157; 1.5139771; 5.6270289; 2.5773244; -0.3039784; 5.4606810; 0.8691355
6.1937129; 1.4021933; 5.4614625; 2.5189071; -0.2809022; 5.4923891; 1.4589147
6.3935101; 1.2813143; 5.3024091; 2.4654247; -0.2543419; 5.5452063; 2.1105663
6.5933073; 1.1525643; 5.1496505; 2.4183774; -0.2165750; 5.6207369; 3.0873386
6.7931045; 1.0173458; 5.0025795; 2.3793501; -0.1740943; 5.7294298; 4.2118857
6.9929017; 0.8770978; 4.8602900; 2.3489510; -0.1302043; 5.8744712; 5.2230159
