# c7769dd1-c6a2-4963-9923-40b87531cc6f
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
4.2898867; 10.9867485; 3.0228937; 1.0019861; 0.2216232; 0.9751324; 0.0041071; 0.0000000; 1.3421903; 1.0609335; 3.0687244; -0.0239055
4.0929567; 11.0175793; 3.0169112; 1.0000479; 0.0679622; 0.9976879; -0.0000479; 0.1999059; 1.5185512; 0.7166955; 3.0671696; -0.0209678
3.8938165; 11.0114165; 3.0069678; 1.0000116; -0.1224200; 0.9924784; -0.0000116; 0.3993954; 1.6956223; 1.0639247; 3.0658051; -0.0209678
3.6991479; 10.9690228; 2.9907485; 1.0042675; -0.3080876; 0.9513580; -0.0008893; 0.5987933; 1.8707821; 0.6940870; 3.0644401; 0.0483462
3.5155388; 10.8914153; 2.9685892; 1.0107154; -0.4504491; 0.8928021; 0.0028623; 0.7985330; 2.0449767; 1.0626894; 3.0675866; -0.0209922
3.3440141; 10.7898672; 2.9316174; 1.0266814; -0.5820017; 0.8131876; -0.0013687; 0.9981411; 2.1825115; 0.3162017; 3.0662208; 0.0204277
3.1911618; 10.6618012; 2.8866865; 1.0442465; -0.6770282; 0.7359571; 0.0045405; 1.1979035; 2.3189902; 1.0627148; 3.0675499; -0.0209917
3.0508217; 10.5201576; 2.8210796; 1.0759073; -0.7618847; 0.6477126; -0.0016687; 1.3975841; 2.4301398; 0.0511079; 3.0661841; 0.0713529
2.9323130; 10.3597261; 2.7465891; 1.1099076; -0.8221936; 0.5692079; 0.0057190; 1.5973439; 2.5395290; 1.0604497; 3.0708242; -0.0210365
2.8238824; 10.1923461; 2.6494946; 1.1609484; -0.8744744; 0.4850716; -0.0020651; 1.7970363; 2.6301458; -0.1563043; 3.0694569; 3.2299612
2.7389180; 10.0118800; 2.5495267; 1.2115999; -0.9158697; 0.4014756; 0.0081941; 1.9969054; 2.7060053; 0.9336521; 3.2727096; -0.0238934
2.6611338; 9.8281742; 2.4246727; 1.2819359; -0.9348433; 0.3550607; 0.0018190; 2.1967653; 2.8102392; 0.1022900; 3.2712524; 5.2761278
2.5993244; 9.6385036; 2.2971461; 1.3558970; -0.9606236; 0.2778530; 0.0008084; 2.3963947; 2.8637752; 0.4446084; 3.5786548; 4.2774329
2.5483490; 9.4456185; 2.1639683; 1.4367034; -0.9734152; 0.2290476; -0.0030076; 2.5959144; 2.9328062; 0.2433190; 3.8097079; 5.2676222
2.5082908; 9.2501717; 2.0321258; 1.5201568; -0.9846216; 0.1747008; -0.0065179; 2.7952134; 2.9802173; 0.2333582; 4.0762921; 5.2629324
2.4781450; 9.0529485; 1.9048485; 1.6039525; -0.9918172; 0.1276662; -0.0088106; 2.9943888; 3.0196957; 0.1618868; 4.3262651; 5.2582468
2.4570441; 8.8545500; 1.7848515; 1.6861536; -0.9963694; 0.0851356; -0.0086223; 3.1935401; 3.0481228; 0.1231226; 4.5623581; 5.2535653
2.4435787; 8.6554816; 1.6728882; 1.7661679; -0.9986729; 0.0515015; -0.0057318; 3.3928438; 3.0699173; 0.0953795; 4.7866256; 5.2488880
2.4357919; 8.4561050; 1.5668876; 1.8456615; -0.9995970; 0.0283875; -0.0009759; 3.5923494; 3.0866763; 0.0726683; 5.0006591; 5.2442149
2.4308152; 8.2566356; 1.4642734; 1.9269193; -0.9996395; 0.0268491; 0.0030016; 3.7919158; 3.1094044; 0.1554865; 5.2057212; 5.2395460
2.4242903; 8.0572114; 1.3693251; 2.0070385; -0.9993099; 0.0371456; 0.0005805; 3.9914443; 3.1285365; 0.0356934; 5.4028337; 5.2348811
2.4162799; 7.8578380; 1.2898798; 2.0786003; -0.9990705; 0.0431072; -0.0050132; 4.1910702; 3.1277691; -0.0432505; 5.5928373; 5.2302205
2.4069780; 7.6585223; 1.2242961; 2.1419507; -0.9987131; 0.0507158; -0.0102929; 4.3907343; 3.1131315; -0.1034021; 5.7764336; -3.9782674
2.3958414; 7.4593025; 1.1695470; 2.1991400; -0.9981178; 0.0613266; -0.0132473; 4.5904187; 3.0859992; -0.1685320; 5.6373289; -4.3396592
2.3820541; 7.2602510; 1.1246639; 2.2504975; -0.9968973; 0.0787130; -0.0124145; 4.7901825; 3.0501445; -0.1906103; 5.4815636; -4.2959941
2.3634979; 7.0615911; 1.0888775; 2.2961358; -0.9939195; 0.1101090; -0.0089557; 4.9900806; 3.0128661; -0.1830519; 5.3228778; -4.6676911
2.3371785; 6.8638188; 1.0602065; 2.3374144; -0.9878261; 0.1555621; -0.0058254; 5.1899693; 2.9743087; -0.2036767; 5.1449173; -3.6112050
2.3008981; 6.6676366; 1.0372971; 2.3750761; -0.9779495; 0.2088416; -0.0044386; 5.3897780; 2.9283268; -0.2574869; 5.0028951; -2.3503180
2.2535916; 6.4738223; 1.0199901; 2.4086163; -0.9640253; 0.2658105; -0.0039943; 5.5895573; 2.8707546; -0.3197641; 4.9082541; -1.4781488
2.1945183; 6.2832713; 1.0084045; 2.4372716; -0.9449059; 0.3273421; -0.0031115; 5.7893242; 2.8024629; -0.3648468; 4.8477867; -0.9525673
2.1224536; 6.0972562; 1.0020930; 2.4608478; -0.9180396; 0.3964888; -0.0015476; 5.9890359; 2.7268163; -0.3935410; 4.8084167; -0.0515325
2.0359599; 5.9175065; 1.0000328; 2.4797254; -0.8823084; 0.4706717; 0.0000328; 6.1886373; 2.6444298; -0.4328947; 4.8062776; -0.0515325
1.9346722; 5.7456621; 1.0014089; 2.4941403; -0.8389924; 0.5441432; 0.0014089; 6.3881073; 2.5639121; -0.3731426; 4.8041376; 1.3364788
1.8191470; 5.5830444; 1.0045854; 2.5053007; -0.7904142; 0.6125728; 0.0006105; 6.5875378; 2.4957507; -0.3098281; 4.8593333; 2.6313146
1.6908163; 5.4303187; 1.0081607; 2.5144600; -0.7405796; 0.6719687; -0.0038984; 6.7872248; 2.4376272; -0.2729891; 4.9662124; 3.2121769
1.5516643; 5.2873686; 1.0120105; 2.5219176; -0.6927643; 0.7211641; -0.0121146; 6.9874528; 2.3862961; -0.2416605; 5.0936461; 3.6721839
1.4036426; 5.1536099; 1.0169059; 2.5272697; -0.6486960; 0.7610476; -0.0234882; 7.1883452; 2.3409442; -0.2131211; 5.2355307; 4.0970356
1.2485110; 5.0281538; 1.0243499; 2.5294443; -0.6097671; 0.7925807; -0.0373041; 7.3898567; 2.3010001; -0.1875162; 5.3894239; 4.4886289
1.0878478; 4.9098532; 1.0367232; 2.5264851; -0.5771449; 0.8166417; -0.0526854; 7.5917838; 2.2659649; -0.1638925; 5.5531325; 4.8772078
0.9230620; 4.7973583; 1.0574032; 2.5153891; -0.5517061; 0.8340386; -0.0686306; 7.7938014; 2.2354929; -0.1417136; 5.7257097; 5.2268655
0.7554114; 4.6891740; 1.0907531; 2.4920717; -0.5340057; 0.8454809; -0.0840673; 7.9955211; 2.2094101; -0.1197759; 5.9050631; 5.2222120
0.5860274; 4.5837227; 1.1418258; 2.4516008; -0.5243697; 0.8514907; -0.0979230; 8.1965521; 2.1876381; -0.0984677; 6.0789744; 5.2175626
0.4159595; 4.4793775; 1.2157313; 2.3887557; -0.5229119; 0.8523867; -0.1091364; 8.3965644; 2.1701718; -0.0764853; 6.2478985; 5.2129174
0.2462225; 4.3745141; 1.3165621; 2.2990375; -0.5296212; 0.8482343; -0.1167021; 8.5953295; 2.1570478; -0.0549949; 6.4122294; -7.7583973
0.0777954; 4.2675670; 1.4454925; 2.1805163; -0.5434612; 0.8394343; -0.1197726; 8.7929255; 2.1492657; -0.0219842; 6.1660641; -9.2486834
-0.0885104; 4.1573005; 1.5988901; 2.0358114; -0.5624142; 0.8268557; -0.1182475; 8.9897653; 2.1492923; 0.0230603; 5.8591159; -8.6451317
-0.2518571; 4.0427238; 1.7699200; 1.8707721; -0.5873235; 0.8093523; -0.1124151; 9.1858706; 2.1563059; 0.0461075; 5.5568883; -7.5892400
-0.4110968; 3.9225310; 1.9483677; 1.6947305; -0.6181989; 0.7860217; -0.1017064; 9.3815363; 2.1697208; 0.0887926; 5.2773267; -6.2089347
-0.5652648; 3.7958544; 2.1189693; 1.5224355; -0.6515320; 0.7586211; -0.0864563; 9.5776144; 2.1937108; 0.1516488; 5.0370845; -5.2462813
-0.7136260; 3.6624271; 2.2676419; 1.3681273; -0.6859843; 0.7276163; -0.0681852; 9.7744306; 2.2294487; 0.2064419; 4.8247750; -4.2371920
-0.8554030; 3.5220396; 2.3849504; 1.2420008; -0.7210753; 0.6928567; -0.0484165; 9.9720860; 2.2769338; 0.2691831; 4.6462254; -3.4425349
-0.9898812; 3.3746662; 2.4666466; 1.1494428; -0.7561483; 0.6544002; -0.0290036; 10.1705635; 2.3363794; 0.3266408; 4.4959438; -2.6976019
-1.1162654; 3.2202898; 2.5152457; 1.0891436; -0.7911514; 0.6116204; -0.0116895; 10.3697501; 2.4072640; 0.3838179; 4.3745754; -2.0659094
-1.2336202; 3.0589429; 2.5396526; 1.0530219; -0.8260205; 0.5636401; 0.0019240; 10.5694968; 2.4889781; 0.4354937; 4.2793008; -1.4460678
-1.3407679; 2.8906607; 2.5495626; 1.0313356; -0.8606697; 0.5091637; 0.0106126; 10.7696623; 2.5807898; 0.4845420; 4.2113295; -1.2381181
-1.4361569; 2.7154642; 2.5511550; 1.0171148; -0.8955866; 0.4448872; 0.0137736; 10.9701458; 2.6799677; 0.5104262; 4.1522487; -0.8780684
-1.5174332; 2.5333082; 2.5462572; 1.0078375; -0.9299995; 0.3675607; 0.0122331; 11.1708091; 2.7849396; 0.5422861; 4.1098341; -0.8319319
-1.5816520; 2.3444833; 2.5352651; 1.0024999; -0.9621794; 0.2724167; 0.0075401; 11.3713936; 2.8930051; 0.5429739; 4.0692402; -0.5401811
-1.6248017; 2.1497905; 2.5187360; 1.0000181; -0.9875842; 0.1570903; 0.0028335; 11.5715770; 3.0050351; 0.5810561; 4.0426640; -0.0364261
-1.6433168; 1.9512612; 2.4969124; 1.0000000; -0.9996526; 0.0263557; 0.0000000; 11.7712885; 3.1240798; 0.6124226; 4.0408656; -0.0364261
-1.6351926; 1.7520393; 2.4698000; 1.0026220; -0.9943362; -0.1062799; -0.0001166; 11.9707858; -3.0399506; 0.5824611; 4.0390664; 0.4613022
-1.6017654; 1.5554496; 2.4365846; 1.0090213; -0.9741369; -0.2259584; 0.0020206; 12.1704285; -2.9262838; 0.5576953; 4.0617928; 0.7622487
-1.5460399; 1.3639581; 2.3963350; 1.0205023; -0.9438805; -0.3302871; 0.0048639; 12.3703527; -2.8179442; 0.5293511; 4.0990695; 1.0681628
-1.4708010; 1.1792423; 2.3486194; 1.0378101; -0.9066211; -0.4219458; 0.0072751; 12.5705053; -2.7153518; 0.4999868; 4.1507433; 1.3474588
-1.3783657; 1.0024901; 2.2934808; 1.0612030; -0.8643313; -0.5029229; 0.0086807; 12.7707801; -2.6184803; 0.4718634; 4.2150248; 1.5770362
-1.2707161; 0.8345589; 2.2313324; 1.0906014; -0.8183953; -0.5746556; 0.0088269; 12.9710682; -2.5270467; 0.4453187; 4.2890351; 1.7669580
-1.1495711; 0.6760789; 2.1628810; 1.1256638; -0.7697045; -0.6384003; 0.0076757; 13.1712751; -2.4408837; 0.4188733; 4.3704698; 1.9564877
-1.0164124; 0.5275435; 2.0891082; 1.1657902; -0.7187924; -0.6952248; 0.0054111; 13.3713268; -2.3599171; 0.3930957; 4.4589048; 2.1401851
-0.8725482; 0.3893455; 2.0112135; 1.2101728; -0.6661989; -0.7457741; 0.0023493; 13.5711705; -2.2837869; 0.3703048; 4.5536765; 2.2751121
-0.7191965; 0.2617511; 1.9304954; 1.2579006; -0.6126399; -0.7903622; -0.0012435; 13.7707772; -2.2118039; 0.3514660; 4.6523066; 2.3446023
-0.5575151; 0.1448854; 1.8482192; 1.3080506; -0.5587352; -0.8293461; -0.0052329; 13.9701368; -2.1433893; 0.3344786; 4.7518077; 2.3972115
-0.3885672; 0.0387898; 1.7655712; 1.3596966; -0.5046731; -0.8633105; -0.0095003; 14.1692461; -2.0784513; 0.3165615; 4.8514320; 2.4967797
-0.2132924; -0.0564960; 1.6837126; 1.4118592; -0.4503673; -0.8928434; -0.0137896; 14.3681049; -2.0171432; 0.2980527; 4.9530642; 2.6331918
-0.0325372; -0.1409297; 1.6037958; 1.4635191; -0.3959603; -0.9182677; -0.0177436; 14.5667283; -1.9593011; 0.2817859; 5.0580372; 2.7337891
0.1528930; -0.2145362; 1.5268629; 1.5137214; -0.3419417; -0.9397212; -0.0210836; 14.7651583; -1.9043693; 0.2688524; 5.1647635; 2.7689132
0.3422238; -0.2774414; 1.4537429; 1.5616583; -0.2887381; -0.9574081; -0.0236849; 14.9634506; -1.8518764; 0.2573257; 5.2706587; 2.7895600
0.5347346; -0.3298217; 1.3850762; 1.6066413; -0.2364280; -0.9716490; -0.0254745; 15.1616564; -1.8017186; 0.2454501; 5.3752343; 2.8437188
0.7297692; -0.3718477; 1.3214051; 1.6480357; -0.1849497; -0.9827480; -0.0263256; 15.3598241; -1.7539146; 0.2337626; 5.4797863; 2.9135754
0.9267233; -0.4036940; 1.2631948; 1.6852594; -0.1344452; -0.9909210; -0.0260884; 15.5580125; -1.7082521; 0.2240161; 5.5848771; 2.9431661
1.1250314; -0.4255926; 1.2107782; 1.7178438; -0.0853274; -0.9963530; -0.0247055; 15.7562913; -1.6642405; 0.2172175; 5.6890646; 2.8974538
1.3241686; -0.4378696; 1.1643098; 1.7454774; -0.0380777; -0.9992748; -0.0222882; 15.9547235; -1.6213296; 0.2129539; 5.7898028; 2.7866179
1.5236621; -0.4409341; 1.1237869; 1.7679886; 0.0069793; -0.9999756; -0.0191005; 16.1533476; -1.5791336; 0.2100063; 5.8850610; 2.6493917
1.7230992; -0.4352345; 1.0891245; 1.7852813; 0.0497789; -0.9987603; -0.0154779; 16.3521723; -1.5375228; 0.2070799; 5.9742199; 2.5294263
1.9221249; -0.4212115; 1.0602333; 1.7972700; 0.0904350; -0.9959024; -0.0117404; 16.5511851; -1.4965277; 0.2038991; 6.0581173; 2.4348712
2.1204362; -0.3992853; 1.0370368; 1.8038719; 0.1289825; -0.9916469; -0.0081734; 16.7503635; -1.4560763; 0.2016185; 6.1377953; 2.3204788
2.3177784; -0.3698834; 1.0194368; 1.8050441; 0.1653635; -0.9862327; -0.0050870; 16.9496767; -1.4160147; 0.1998375; 6.2127790; 2.2004394
2.5139394; -0.3334227; 1.0073297; 1.8007709; 0.1998237; -0.9798319; -0.0027840; 17.1490854; -1.3765259; 0.1954218; 6.2830573; 2.1973041
2.7087184; -0.2901826; 1.0007433; 1.7909321; 0.2336625; -0.9723178; -0.0013018; 17.3485528; -1.3389384; 0.1810059; 6.3524595; 2.6057142
2.9018496; -0.2400933; 1.0000140; 1.7751287; 0.2687534; -0.9632090; 0.0000140; 17.5480647; -1.3048262; 0.1621869; 6.4337913; 3.1941482
3.0929905; -0.1828743; 1.0054623; 1.7530024; 0.3047217; -0.9524414; 0.0021329; 17.7476466; -1.2722363; 0.1650510; 6.5321084; 2.8623446
3.2818640; -0.1185602; 1.0168528; 1.7247658; 0.3396165; -0.9405640; 0.0050890; 17.9473341; -1.2380214; 0.1777802; 6.6189719; -0.5368053
3.4682852; -0.0474506; 1.0336250; 1.6909694; 0.3729110; -0.9278671; 0.0082256; 18.1471297; -1.2014571; 0.1885021; 6.6027685; -1.7135851
3.6520807; 0.0301905; 1.0551951; 1.6522162; 0.4052231; -0.9142178; 0.0109297; 18.3470178; -1.1631469; 0.1953303; 6.5507762; -1.6881798
3.8330337; 0.1142412; 1.0810294; 1.6091008; 0.4372657; -0.8993323; 0.0128844; 18.5469817; -1.1237949; 0.1990119; 6.4991479; -1.6827423
4.0108679; 0.2047026; 1.1106292; 1.5622237; 0.4695474; -0.8829073; 0.0140446; 18.7470062; -1.0839183; 0.2006563; 6.4472745; -1.7431167
4.1852487; 0.3016537; 1.1435059; 1.5122093; 0.5023350; -0.8646731; 0.0145545; 18.9470767; -1.0438017; 0.2015122; 6.3930962; -1.8490007
4.3557969; 0.4051979; 1.1791426; 1.4597373; 0.5355975; -0.8444734; 0.0146430; 19.1471781; -1.0034114; 0.2034363; 6.3351205; -1.9242836
4.5221165; 0.5154052; 1.2169370; 1.4055977; 0.5690634; -0.8222936; 0.0144959; 19.3472961; -0.9624510; 0.2071912; 6.2742154; -1.8983897
4.6838148; 0.6322867; 1.2561769; 1.3507182; 0.6024615; -0.7981480; 0.0141960; 19.5474206; -0.9206261; 0.2120728; 6.2135449; -1.8513229
4.8404953; 0.7558122; 1.2960612; 1.2961413; 0.6356432; -0.7719830; 0.0137611; 19.7475447; -0.8777814; 0.2174099; 6.1538026; -1.7949687
4.9917449; 0.8859296; 1.3357316; 1.2429867; 0.6685223; -0.7436921; 0.0131943; 19.9476630; -0.8338383; 0.2230757; 6.0953197; -1.7417629
5.1371255; 1.0225719; 1.3743014; 1.1924120; 0.7010366; -0.7131253; 0.0125067; 20.1477704; -0.7887647; 0.2287458; 6.0380289; -1.6887349
5.2761642; 1.1656609; 1.4108919; 1.1455631; 0.7331283; -0.6800904; 0.0117392; 20.3478630; -0.7425580; 0.2344940; 5.9819585; -1.5606636
5.4083574; 1.3150959; 1.4446446; 1.1035466; 0.7645867; -0.6445209; 0.0109438; 20.5479359; -0.6950086; 0.2422508; 5.9296689; -1.2941616
5.5332158; 1.4707103; 1.4746867; 1.0674471; 0.7949835; -0.6066311; 0.0100608; 20.7479813; -0.6455564; 0.2535216; 5.8859561; -0.9496655
5.6503026; 1.6322518; 1.5001413; 1.0382999; 0.8239672; -0.5666374; 0.0088390; 20.9479859; -0.5937021; 0.2663548; 5.8536717; -0.5028170
5.7592068; 1.7994176; 1.5202036; 1.0169969; 0.8513257; -0.5246375; 0.0069227; 21.1479255; -0.5390998; 0.2810284; 5.8365058; -0.0759247
5.8595209; 1.9718728; 1.5341801; 1.0042386; 0.8770158; -0.4804615; 0.0039110; 21.3477607; -0.4817111; 0.2938195; 5.8339094; -0.0759247
5.9506605; 2.1493466; 1.5418459; 1.0001714; 0.9018484; -0.4320526; -0.0001714; 21.5474372; -0.4245657; 0.2789270; 5.8313119; 0.4394552
6.0316640; 2.3316690; 1.5437931; 1.0040462; 0.9251813; -0.3795255; -0.0040462; 21.7468835; -0.3717113; 0.2512258; 5.8463307; 1.3369600
6.1021526; 2.5183102; 1.5404785; 1.0151726; 0.9448352; -0.3275462; -0.0066748; 21.9461322; -0.3224652; 0.2424109; 5.8917873; 1.5077139
6.1626245; 2.7084370; 1.5318722; 1.0332598; 0.9602070; -0.2792893; -0.0083628; 22.1452903; -0.2745576; 0.2377077; 5.9426323; 1.5265988
6.2138655; 2.9012601; 1.5179578; 1.0579260; 0.9720175; -0.2349083; -0.0098571; 22.3444113; -0.2279982; 0.2289120; 5.9936748; 1.6963928
6.2565770; 3.0961525; 1.4989700; 1.0884726; 0.9810680; -0.1936636; -0.0116495; 22.5434997; -0.1836195; 0.2158178; 6.0498892; 2.0191665
6.2912983; 3.2926280; 1.4754305; 1.1238675; 0.9879696; -0.1546485; -0.0138501; 22.7425410; -0.1423685; 0.1975686; 6.1161262; 2.5261051
6.3183783; 3.4903032; 1.4481414; 1.1627836; 0.9931401; -0.1169304; -0.0161567; 22.9415163; -0.1051750; 0.1752362; 6.1979962; 3.1825770
6.3380167; 3.6888567; 1.4180991; 1.2037139; 0.9967913; -0.0800440; -0.0179527; 23.1404236; -0.0724667; 0.1527382; 6.2996276; 3.8500083
6.3504009; 3.8879947; 1.3863437; 1.2451421; 0.9990158; -0.0443552; -0.0185889; 23.3393008; -0.0438274; 0.1345506; 6.4204228; 4.3616182
6.3558695; 4.0874433; 1.3537883; 1.2857422; 0.9999400; -0.0109537; -0.0177103; 23.5382251; -0.0181228; 0.1233222; 6.5545808; 4.6059243
6.3550114; 4.2869669; 1.3210671; 1.3245668; 0.9998223; 0.0188508; -0.0154540; 23.7372731; 0.0059793; 0.1184069; 6.6933350; 4.5953418
6.3486523; 4.4863934; 1.2884906; 1.3611153; 0.9990288; 0.0440613; -0.0124272; 23.9364756; 0.0294792; 0.1171407; 6.8289613; 4.4331441
6.3377572; 4.6856251; 1.2561483; 1.3952297; 0.9979291; 0.0643233; -0.0095174; 24.1358068; 0.0527258; 0.1156531; 6.9572954; 4.2939530
6.3232773; 4.8846288; 1.2241248; 1.4268728; 0.9967817; 0.0801634; -0.0075929; 24.3352137; 0.0751799; 0.1090858; 7.0793825; 4.4210712
6.3059782; 5.0834076; 1.1926842; 1.4559474; 0.9956823; 0.0928265; -0.0071573; 24.5346539; 0.0956019; 0.0953662; 7.2029220; 4.9364615
6.2863611; 5.2819718; 1.1622555; 1.4823025; 0.9946219; 0.1035729; -0.0081896; 24.7341072; 0.1127640; 0.0764687; 7.3384061; 5.1798657
6.2647125; 5.4803262; 1.1333107; 1.5058215; 0.9935589; 0.1133173; -0.0102408; 24.9335612; 0.1257690; 0.0536933; 7.4779318; 5.1752540
6.2411546; 5.6784638; 1.1063641; 1.5263872; 0.9924265; 0.1228399; -0.0125331; 25.1329989; 0.1338352; 0.0272475; 7.6147806; 5.1706465
6.2156931; 5.8763649; 1.0820316; 1.5438156; 0.9912053; 0.1323333; -0.0140537; 25.3324099; 0.1368264; 0.0033497; 7.7490945; 3.6829214
6.1884447; 6.0740265; 1.0608642; 1.5580328; 0.9901047; 0.1403305; -0.0140146; 25.5318275; 0.1363323; -0.0078400; 7.8433604; -9.5376274
6.1599374; 6.2715112; 1.0430373; 1.5693536; 0.9894838; 0.1446438; -0.0124596; 25.7313069; 0.1345411; -0.0102426; 7.5968335; -9.2724053
6.1310112; 6.4689363; 1.0284037; 1.5783586; 0.9894880; 0.1446152; -0.0100658; 25.9308538; 0.1320024; -0.0157020; 7.3492384; -8.5523616
6.1024310; 6.6664115; 1.0168728; 1.5854763; 0.9899367; 0.1415107; -0.0073595; 26.1304318; 0.1273627; -0.0308413; 7.1132340; -7.9818314
6.0746719; 6.8640025; 1.0086144; 1.5907858; 0.9906520; 0.1364131; -0.0042815; 26.3300168; 0.1196309; -0.0447969; 6.8856798; -7.9632668
6.0483705; 7.0617936; 1.0034010; 1.5946793; 0.9920755; 0.1256430; -0.0010974; 26.5296015; 0.1128824; -0.0235699; 6.6509009; -9.0550091
6.0249933; 7.2599507; 1.0001907; 1.5982820; 0.9941579; 0.1079354; 0.0001907; 26.7291447; 0.1088616; -0.0224067; 6.3734348; -5.3018023
6.0045197; 7.4584269; 1.0000000; 1.6005805; 0.9947921; 0.1019250; 0.0000000; 26.9286749; 0.0935049; -0.1242469; 6.2052193; -5.2090337
5.9832774; 7.6568213; 1.0059926; 1.5983389; 0.9937557; 0.1115780; 0.0046253; 27.1282844; 0.0726376; -0.0814578; 6.0353828; -7.0418011
5.9602049; 7.8550185; 1.0174559; 1.5922356; 0.9930084; 0.1180437; 0.0141001; 27.3280984; 0.0672832; 0.0222219; 5.7978872; -9.3212635
5.9360567; 8.0530958; 1.0335913; 1.5833127; 0.9920066; 0.1261859; 0.0245366; 27.5280849; 0.0711385; 0.0249345; 5.4676707; -4.3374083
5.9102307; 8.2509835; 1.0548480; 1.5716800; 0.9917096; 0.1284995; 0.0347502; 27.7279637; 0.0943452; 0.2032859; 5.3070126; -3.5730231
5.8855484; 8.4489291; 1.0778809; 1.5606697; 0.9928640; 0.1192521; 0.0366910; 27.9271361; 0.1401930; 0.2425958; 5.1709193; -3.0478390
5.8608937; 8.6469261; 1.1008888; 1.5497672; 0.9906575; 0.1363738; 0.0301835; 28.1273254; 0.1689083; 0.0601188; 5.0519331; -6.0370790
5.8298266; 8.8440324; 1.1281663; 1.5341755; 0.9849167; 0.1730289; 0.0258636; 28.3279598; 0.1926326; 0.1736919; 4.8075625; -6.0144599
5.7918704; 9.0399060; 1.1602796; 1.5141374; 0.9778659; 0.2092324; 0.0223741; 28.5284041; 0.2277311; 0.1786956; 4.5510784; -6.2085385
5.7457910; 9.2340273; 1.1990347; 1.4883317; 0.9673234; 0.2535459; 0.0199136; 28.7289089; 0.2664460; 0.2101585; 4.2701892; -5.8383520
5.6904813; 9.4257225; 1.2457878; 1.4561618; 0.9536300; 0.3009814; 0.0185078; 28.9293957; 0.3137593; 0.2638963; 3.9880392; -5.8324811
5.6255492; 9.6143632; 1.3009265; 1.4181488; 0.9366054; 0.3503859; 0.0167610; 29.1298543; 0.3706949; 0.3050502; 3.6846629; -5.7551186
5.5500051; 9.7990190; 1.3651964; 1.3746726; 0.9123051; 0.4095112; 0.0146227; 29.3304044; 0.4283577; 0.2805637; 3.3585562; -3.0823832
5.4637675; 9.9789162; 1.4392332; 1.3276635; 0.8959177; 0.4442200; 0.0101928; 29.5305349; 0.5268669; 0.6905691; 3.1701317; -1.4086053
5.3687789; 10.1542998; 1.5179365; 1.2830191; 0.8432926; 0.5374547; -0.0030588; 29.7305987; 0.5667954; -0.2655820; 3.0801894; -0.0314157
5.2510832; 10.3153208; 1.6239344; 1.2248837; 0.7944925; 0.6072740; 0.0063939; 29.9302734; 0.6471230; 1.0543209; 3.0781535; -0.0291667
5.1265864; 10.4711805; 1.7415139; 1.1747671; 0.7400448; 0.6725576; -0.0011879; 30.1300377; 0.7393322; -0.1028160; 3.0762621; -0.0270538
4.9825398; 10.6090972; 1.8917933; 1.1195671; 0.6674342; 0.7446688; 0.0068111; 30.3298457; 0.8354192; 1.0572797; 3.0745067; -0.0292275
4.8297104; 10.7372512; 2.0699350; 1.0774676; 0.5877087; 0.8090726; -0.0000492; 30.5297469; 0.9481068; 0.0898561; 3.0726092; -0.0210422
4.6598538; 10.8416831; 2.3039119; 1.0373047; 0.4825360; 0.8758761; 0.0061057; 30.7296342; 1.0629288; 1.0601610; 3.0712423; -0.0210422
4.4808064; 10.9294539; 2.6073723; 1.0148061; 0.3697344; 0.9291375; 0.0002836; 30.9296001; 1.2021645; 0.3451923; 3.0698748; -0.0176943
