# b997f448-e85e-4c3c-9080-d98156ebcf0b
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.2907970; 10.9907535; 1.3421903; 1.0609335; 3.0687244; -0.0239055
0.1995477; 4.0933115; 11.0175127; 1.5185512; 0.7166955; 3.0671696; -0.0209678
0.3990953; 3.8941149; 11.0114422; 1.6956223; 1.0639247; 3.0658051; -0.0209678
0.5986430; 3.6995658; 10.9682213; 1.8707821; 0.6940870; 3.0644401; 0.0483462
0.7981907; 3.5145532; 10.8941268; 2.0449767; 1.0626894; 3.0675866; -0.0209922
0.9977384; 3.3451413; 10.7889861; 2.1825115; 0.3162017; 3.0662208; 0.0204277
1.1972860; 3.1885388; 10.6655617; 2.3189902; 1.0627148; 3.0675499; -0.0209917
1.3968337; 3.0525843; 10.5196467; 2.4301398; 0.0511079; 3.0661841; 0.0713529
1.5963814; 2.9281539; 10.3637725; 2.5395290; 1.0604497; 3.0708242; -0.0210365
1.7959291; 2.8262316; 10.1923123; 2.6301458; -0.1563043; 3.0694569; 3.2299612
1.9954767; 2.7320141; 10.0164630; 2.7060053; 0.9336521; 3.2727096; -0.0238934
2.1950244; 2.6599999; 9.8304674; 2.8102392; 0.1022900; 3.2712524; 5.2761278
2.3945721; 2.5990465; 9.6404796; 2.8637752; 0.4446084; 3.5786548; 4.2774329
2.5941198; 2.5516482; 9.4466849; 2.9328062; 0.2433190; 3.8097079; 5.2676222
2.7936674; 2.5149565; 9.2505582; 2.9802173; 0.2333582; 4.0762921; 5.2629324
2.9932151; 2.4870260; 9.0529885; 3.0196957; 0.1618868; 4.3262651; 5.2582468
3.1927628; 2.4657076; 8.8545900; 3.0481228; 0.1231226; 4.5623581; 5.2535653
3.3923105; 2.4493411; 8.6557187; 3.0699173; 0.0953795; 4.7866256; 5.2488880
3.5918581; 2.4367943; 8.4565680; 3.0866763; 0.0726683; 5.0006591; 5.2442149
3.7914058; 2.4278311; 8.2572258; 3.1094044; 0.1554865; 5.2057212; 5.2395460
3.9909535; 2.4237166; 8.0577239; 3.1285365; 0.0356934; 5.4028337; 5.2348811
4.1905012; 2.4212963; 7.8581909; 3.1277691; -0.0432505; 5.5928373; 5.2302205
4.3900488; 2.4172772; 7.6586854; 3.1131315; -0.1034021; 5.7764336; -3.9782674
4.5895965; 2.4091095; 7.4593112; 3.0859992; -0.1685320; 5.6373289; -4.3396592
4.7891442; 2.3945251; 7.2603081; 3.0501445; -0.1906103; 5.4815636; -4.2959941
4.9886919; 2.3725776; 7.0619824; 3.0128661; -0.1830519; 5.3228778; -4.6676911
5.1882395; 2.3432212; 6.8646179; 2.9743087; -0.2036767; 5.1449173; -3.6112050
5.3877872; 2.3056606; 6.6686550; 2.9283268; -0.2574869; 5.0028951; -2.3503180
5.5873349; 2.2580376; 6.4749018; 2.8707546; -0.3197641; 4.9082541; -1.4781488
5.7868826; 2.1982715; 6.2845548; 2.8024629; -0.3648468; 4.8477867; -0.9525673
5.9864302; 2.1249254; 6.0990262; 2.7268163; -0.3935410; 4.8084167; -0.0515325
6.1859779; 2.0372001; 5.9198577; 2.6444298; -0.4328947; 4.8062776; -0.0515325
6.3855256; 1.9349006; 5.7485903; 2.5639121; -0.3731426; 4.8041376; 1.3364788
6.5850732; 1.8201491; 5.5853868; 2.4957507; -0.3098281; 4.8593333; 2.6313146
6.7846209; 1.6953915; 5.4296857; 2.4376272; -0.2729891; 4.9662124; 3.2121769
6.9841686; 1.5623128; 5.2810260; 2.3862961; -0.2416605; 5.0936461; 3.6721839
7.1837163; 1.4222090; 5.1389607; 2.3409442; -0.2131211; 5.2355307; 4.0970356
7.3832639; 1.2761784; 5.0029871; 2.3010001; -0.1875162; 5.3894239; 4.4886289
7.5828116; 1.1251528; 4.8725728; 2.2659649; -0.1638925; 5.5531325; 4.8772078
7.7823593; 0.9699344; 4.7471656; 2.2354929; -0.1417136; 5.7257097; 5.2268655
7.9819070; 0.8112275; 4.6261926; 2.2094101; -0.1197759; 5.9050631; 5.2222120
8.1814546; 0.6496710; 4.5090480; 2.1876381; -0.0984677; 6.0789744; 5.2175626
8.3810023; 0.4858472; 4.3950982; 2.1701718; -0.0764853; 6.2478985; 5.2129174
8.5805500; 0.3203085; 4.2836707; 2.1570478; -0.0549949; 6.4122294; -7.7583973
8.7800977; 0.1536073; 4.1740238; 2.1492657; -0.0219842; 6.1660641; -9.2486834
8.9796453; -0.0135487; 4.0650513; 2.1492923; 0.0230603; 5.8591159; -8.6451317
9.1791930; -0.1802776; 3.9554253; 2.1563059; 0.0461075; 5.5568883; -7.5892400
9.3787407; -0.3459121; 3.8441646; 2.1697208; 0.0887926; 5.2773267; -6.2089347
9.5782884; -0.5094820; 3.7298745; 2.1937108; 0.1516488; 5.0370845; -5.2462813
9.7778360; -0.6695401; 3.6107354; 2.2294487; 0.2064419; 4.8247750; -4.2371920
9.9773837; -0.8245166; 3.4850657; 2.2769338; 0.2691831; 4.6462254; -3.4425349
10.1769314; -0.9725385; 3.3512854; 2.3363794; 0.3266408; 4.4959438; -2.6976019
10.3764791; -1.1115271; 3.2081574; 2.4072640; 0.3838179; 4.3745754; -2.0659094
10.5760267; -1.2391787; 3.0548497; 2.4889781; 0.4354937; 4.2793008; -1.4460678
10.7755744; -1.3530513; 2.8910658; 2.5807898; 0.4845420; 4.2113295; -1.2381181
10.9751221; -1.4507139; 2.7171405; 2.6799677; 0.5104262; 4.1522487; -0.8780684
11.1746698; -1.5301622; 2.5341868; 2.7849396; 0.5422861; 4.1098341; -0.8319319
11.3742174; -1.5896046; 2.3437975; 2.8930051; 0.5429739; 4.0692402; -0.5401811
11.5737651; -1.6278995; 2.1480657; 3.0050351; 0.5810561; 4.0426640; -0.0364261
11.7733128; -1.6433535; 1.9492369; 3.1240798; 0.6124226; 4.0408656; -0.0364261
